"Segment"	"en-ZZ"	"pt-PT"	"ID"	"File"
"4687"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R564_question02_q02itemDirections_56fc783b5cfdd4.82081497_1_0"	"PISA_por-PRT_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"Segundo o folheto, esta afirmação é verdadeira ou falsa?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_por-PRT_REA_R545-MachuPicchu_en18_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; Em compras entre € 60 e € 149,99, a Trabalhar Bem reembolsa-o em € &lt;span id=&quot;q3key&quot;&gt;20&lt;/span&gt;.&lt;br /&gt; &gt; Em compras entre € 150 e € 299,99, a Trabalhar Bem reembolsa-o em € 50.&lt;br /&gt; &gt; Em compras de € 300 ou mais, a Trabalhar Bem reembolsa-o em € 100.&lt;br /&gt;"	"R466_stimulus_line5_50c7c99f41bdb3.15264412_0"	"PISA_por-PRT_REA_R466-WorkRight_en15_MS2022.xlf"
"4839"	"Click on a choice to answer the question.&lt;/i&gt;"	"Para responderes à questão, seleciona uma opção. &lt;/i&gt;"	"R565_question_itemDirections_56fc785d5c2e04.42459264_1_0"	"PISA_por-PRT_REA_R565-SittingDisease_en18_MS2022.xlf"
"4810"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Depois clica na seta SEGUINTE. &lt;/i&gt;"	"question00a_1_itemDirections00_56fc785d589cb2.39315232_1_0"	"PISA_por-PRT_REA_R565-SittingDisease_en18_MS2022.xlf"
"5644"	"Then click on the NEXT arrow."	"Depois clica na seta SEGUINTE."	"q0a-body_q0a-itemDirections_56fc784ab0be40.63295573_1_0"	"PISA_por-PRT_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5991"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each activity."	"Seleciona &lt;b&gt;Sim&lt;/b&gt; ou &lt;b&gt;Não&lt;/b&gt; para cada atividade."	"R570_question04_q04p1_56fc78797ba9b4.63482118_1_0"	"PISA_por-PRT_REA_R570-TheFavour_en18_MS2022.xlf"
"4535"	"Refer to the different webpages of the website on the right."	"Considera a informação nos vários separadores do &lt;i&gt;site&lt;/i&gt; apresentado à direita."	"R563_question04_q04itemDirections_56fc786b4263f7.31451763_0_0"	"PISA_por-PRT_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2745"	"8:00 am – 5:00 pm"	"8:00 &amp;ndash; 17:00"	"R550_hours_r3c2_56fc785ccfb114.73612476_0"	"PISA_por-PRT_REA_R550-CliffPalace_en18_MS2022.xlf"
"3258"	"&lt;b&gt;Teen Health Forum&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Fórum sobre a saúde dos adolescentes&lt;/b&gt;&lt;br /&gt;"	"R553_question4_q04itemTitle_56fc784a5fe265.49123770_0_0"	"PISA_por-PRT_REA_R553-HealthForum_en18_MS2022.xlf"
"4284"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R562_question01_q01itemDirections_56fc783b408936.21098071_1_0"	"PISA_por-PRT_REA_R562-OpeningNight_en18_MS2022.xlf"
"4320"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R562_question05_q05itemDirections_56fc783b44e892.36199768_1_0"	"PISA_por-PRT_REA_R562-OpeningNight_en18_MS2022.xlf"
"5656"	"Click on a choice and type an explanation to answer the question."	"Para responderes à questão, seleciona uma opção e depois escreve uma justificação.&lt;/i&gt;"	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_1_0"	"PISA_por-PRT_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1559"	"Monday"	"Segunda-feira"	"Q09R542_question_Q09r2c1_56fc7821124854.81457215_0"	"PISA_por-PRT_REA_R542-BulletinBoard_en18_MS2022.xlf"
"4276"	"Then click on the NEXT arrow."	"Depois clica na seta SEGUINTE."	"q00body_q00itemDirections_56fc783b3f8a36.71119956_1_0"	"PISA_por-PRT_REA_R562-OpeningNight_en18_MS2022.xlf"
"4566"	"Refer to the different webpages of the website on the right."	"Considera a informação nos vários separadores do &lt;i&gt;site&lt;/i&gt; apresentado à direita."	"R563_question06_q06itemDirections_56fc786b45cd07.83714228_0_0"	"PISA_por-PRT_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4584"	"Refer to the different webpages of the website on the right."	"Considera a informação nos vários separadores do &lt;i&gt;site&lt;/i&gt; apresentado à direita."	"R563_question07_q07itemDirections_56fc786b47b763.06450393_0_0"	"PISA_por-PRT_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4916"	"Type your answer to the question.&lt;/i&gt;"	"Escreve a resposta à questão. &lt;/i&gt;"	"R565_question9_itemDirections_56fc785d64abb5.53582901_1_0"	"PISA_por-PRT_REA_R565-SittingDisease_en18_MS2022.xlf"
"3778"	"Then click on the NEXT arrow."	"Depois clica na seta SEGUINTE."	"q00body_q00itemDirections_56fc783b2348f3.80349298_1_0"	"PISA_por-PRT_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"1563"	"Friday"	"Sexta-feira"	"Q09R542_question_Q09r6c1_56fc7821126120.13188048_0"	"PISA_por-PRT_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5586"	"Click on a choice to answer the question."	"Para responderes à questão, seleciona uma opção."	"R568_question06_q06itemDirections_56fc784aaa2498.41264310_1_0"	"PISA_por-PRT_REA_R568-SpaceDebris_en18_MS2022.xlf"
