"Segment"	"en-ZZ"	"uk-UA"	"ID"	"File"
"2749"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA130_question03_itemDirectionsQ03_5c9d214b8dfe44.39422320_1_0"	"PISA_ukr-UKR_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"4265"	"Click on a choice and then type an explanation to answer the question."	"Виберіть відповідь на запитання та клікніть на неї. Після цього введіть Ваше пояснення."	"q3MA149_question_q3itemDirections_5c9d21652d7289.76917872_1_0"	"PISA_ukr-UKR_MAT_MA149-FloorArea_en21_MS2022.xlf"
"3235"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"Q3MA134_question_Q3ItmDirP1Id_5c9d2164359530.23831900_1_0"	"PISA_ukr-UKR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4306"	"Click on a choice and then type an explanation to answer the question."	"Виберіть відповідь на запитання та клікніть на неї. Після цього введіть Ваше пояснення."	"q3MA150_question_q3itemDirections_5c9d216539ff89.14130320_1_0"	"PISA_ukr-UKR_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"3329"	"A"	"А"	"CMA135_question3_question03_19_5c9d2164520b42.34486685_0"	"PISA_ukr-UKR_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"417"	"Click on the choices in the table to answer the question."	"Виберіть у таблиці нижче відповіді на запитання та клікніть на них."	"M105_question4_itemDirections4_5c9d213673ce56.29743651_2_0"	"PISA_ukr-UKR_MAT_MA105-CleanEnergy_en21_MS2022.xlf"
"733"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"Q1M110_question_Q1itemDirections_5c9d214a49be54.59438497_1_0"	"PISA_ukr-UKR_MAT_MA110-HeadphoneOrder_en21_MS2022.xlf"
"3674"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"q3CMA141_question_q3itemDirections_5c9d2164a87c86.43889590_1_0"	"PISA_ukr-UKR_MAT_MA141-WaterBill_en21_MS2022.xlf"
"1915"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA128_question3_q3itemDirections_5c9d214b34d864.30750173_1_0"	"PISA_ukr-UKR_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"4901"	"Use the spreadsheet to help you answer the question below."	"Щоб відповісти на наведене нижче запитання, скористайтеся електронною таблицею."	"q1MA160_question_q1itemDirections_5c9d21377c33e0.63336318_1_0"	"PISA_ukr-UKR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3912"	"Click on the choices in the table to answer the question."	"Виберіть відповіді на запитання та клікніть на них."	"q3MA144_question_q3itemDirections_5c9d2164d14836.39405170_1_0"	"PISA_ukr-UKR_MAT_MA144-Yogurt_en21_MS2022.xlf"
"3938"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA145_question1_q1itemDirections_5c9d2164dfb137.21186139_1_0"	"PISA_ukr-UKR_MAT_MA145-Shadows_en21_MS2022.xlf"
"3708"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA142_questionq1_q1itemDirections_5c9d2164b33733.31465748_1_0"	"PISA_ukr-UKR_MAT_MA142-WaterReservoir_en21_MS2022.xlf"
"4646"	"Click on a choice and then type an explanation to answer the question."	"Виберіть відповідь на запитання та клікніть на неї. Після цього введіть Ваше пояснення."	"q1MA156_question_q1itemDirections_5c9d21656932b0.11712938_1_0"	"PISA_ukr-UKR_MAT_MA156-Points_en21_MS2022.xlf"
"5075"	"Statement"	"Запитання"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_ukr-UKR_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4597"	"D"	"Р"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_ukr-UKR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4590"	"D"	"Р"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_ukr-UKR_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3989"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA146q1_question_q1itemDirections_5c9d2164eb6c14.66337389_1_0"	"PISA_ukr-UKR_MAT_MA146-Fuel_en21_MS2022.xlf"
"4000"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA146q2_question_q2itemDirections_5c9d2164ecdb44.24311045_1_0"	"PISA_ukr-UKR_MAT_MA146-Fuel_en21_MS2022.xlf"
"1482"	"Using the number keys, type your answer to the question."	"Уведіть відповідь на запитання, скориставшись цифровими клавішами."	"MA119_question3_itemDirections3_5c9d214ad81398.66377695_1_0"	"PISA_ukr-UKR_MAT_MA119-MusicSurvey_en21_MS2022.xlf"
"3578"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"CMA139_question_q1itemDirections_5c9d2164903766.73853823_1_0"	"PISA_ukr-UKR_MAT_MA139-TabletCover_en21_MS2022.xlf"
"1878"	"Use drag and drop to answer the question."	"Щоб відповісти на запитання, скористайтеся методом перетягування."	"MA128_question1_q1itemDirections_5c9d214b319101.94990115_1_0"	"PISA_ukr-UKR_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Клікніть на &lt;b&gt;Так&lt;/b&gt; або &lt;b&gt;Ні&lt;/b&gt; для кожного твердження."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_ukr-UKR_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Щоб скористатися калькулятором, дійте так:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_ukr-UKR_MAT_MA112-Metabolism_en21_MS2022.xlf"
"3207"	"A"	"А"	"Q1MA134_question_Q01tr4td1SELECT1o1_5c9d21643194f1.20986162_0"	"PISA_ukr-UKR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"2978"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA133Q01_question_q1itemDirections_5c9d2164228f81.27626420_1_0"	"PISA_ukr-UKR_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 кДж"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_ukr-UKR_MAT_MA144-Yogurt_en21_MS2022.xlf"
"3340"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"q4CMA135_question_q4itemDirections_5c9d21645385f9.31439715_1_0"	"PISA_ukr-UKR_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"4097"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"MA147q2_question_q2itemDirections_5c9d216508ba43.16937301_1_0"	"PISA_ukr-UKR_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Клікніть на &lt;b&gt;Істинне&lt;/b&gt; або &lt;b&gt;Хибне&lt;/b&gt; для кожного твердження в таблиці."	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_ukr-UKR_MAT_MA144-Yogurt_en21_MS2022.xlf"
"3217"	"Using the number keys, type your answers to the question."	"Уведіть Ваші відповіді на запитання, скориставшись цифровими клавішами."	"Q2MA134_question_Q2ItmDirP1Id_5c9d216433ba20.91339777_1_0"	"PISA_ukr-UKR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4337"	"United Kingdom"	"Сполучене Королівство"	"MA151_stimulus_cntLbl20_5c9d21654089f0.65656520_0"	"PISA_ukr-UKR_MAT_MA151-MovingOut_en21_MS2022.xlf"
"4850"	"Mean"	"Середнє арифметичне"	"MA160_stimulus_mean_5c9d213774cbc9.97013701_0"	"PISA_ukr-UKR_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"744"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"Q2M110_question_Q2itemDirections_5c9d214a4ad912.55794775_1_0"	"PISA_ukr-UKR_MAT_MA110-HeadphoneOrder_en21_MS2022.xlf"
"3260"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"CMA135_question_q1itemDirections_5c9d21644eed99.25860806_1_0"	"PISA_ukr-UKR_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"3189"	"A"	"А"	"Q1MA134_question_Q01tr1td1SELECT1o1_5c9d2164317bf7.69076389_0"	"PISA_ukr-UKR_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4395"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"q2MA151_question_q2itemDirections_5c9d216543c0a5.48560059_1_0"	"PISA_ukr-UKR_MAT_MA151-MovingOut_en21_MS2022.xlf"
"4753"	"Click on a choice to answer the question."	"Виберіть відповідь на запитання та клікніть на неї."	"q1MA158_question_q1itemDirections_5c9d21657b6927.43068957_1_0"	"PISA_ukr-UKR_MAT_MA158-EyeColour_en21_MS2022.xlf"
