"Segment"	"en-ZZ"	"uz-UZ"	"ID"	"File"
"1839"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA121_question03_Q03itemDirections_5c9d214b07d797.77931049_1_0"	"PISA_uzb-UZB_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1333"	"Using the number keys, type your answer to the question."	"Raqamli tugmachalardan foydalanib savolga javobingizni yozing."	"MA116_question2_itemDirections2_5c9d214a9b0fd8.94394432_1_0"	"PISA_uzb-UZB_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"3200"	"Select"	"Tanlang"	"Q1MA134_question_Q01tr3td1SELECT1o0_5c9d2164318c81.53190451_0"	"PISA_uzb-UZB_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1412"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA117_question02_Q02itemDirections_5c9d214aae26f7.68113286_1_0"	"PISA_uzb-UZB_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Javobingizni izohlang va izohingizni to'ldirish uchun raqamli qiymatlarni keltirib o'ting."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_uzb-UZB_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2693"	"Then click on the NEXT arrow."	"So`ngra KEYINGI tugmasini bosing."	"question0a_1_itemDirections00_5c9d214b887736.20535767_1_0"	"PISA_uzb-UZB_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"3162"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt; Jami &lt;/b&gt;"	"MA134_stimulus3_stimulus03_45_5c9d21642f31d1.99013301_0"	"PISA_uzb-UZB_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"1915"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA128_question3_q3itemDirections_5c9d214b34d864.30750173_1_0"	"PISA_uzb-UZB_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"2790"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA131_question1_q1itemDirections_5c9d214ba1ed50.83741588_1_0"	"PISA_uzb-UZB_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Savolga javob berish uchun ikkita katakchani bosing."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_uzb-UZB_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"817"	"Using the number keys, type your answer to the question."	"Raqamli tugmachalardan foydalanib savolga javobingizni yozing."	"Q1M111_question_Q1itemDirections_5c9d214a58a5d3.97129528_1_0"	"PISA_uzb-UZB_MAT_MA111-HealthApp_en21_MS2022.xlf"
"4242"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✓Esda saqlang: &lt;b&gt;bir yoki bir nechta&lt;/b&gt;javob katakchalarini tanlang."	"q1MA149_question_q1p3_5c9d21652ae817.33454873_0"	"PISA_uzb-UZB_MAT_MA149-FloorArea_en21_MS2022.xlf"
"2250"	"Select"	"Tanlang"	"MA126_question02_S02tr6o0_5c9d214b526e30.75797689_0"	"PISA_uzb-UZB_MAT_MA126-Robot_en21_MS2022.xlf"
"1171"	"Then click on the NEXT arrow."	"So`ngra KEYINGI tugmasini bosing."	"question0a_1_itemDirections00_5c9d214a819cf9.74104060_1_0"	"PISA_uzb-UZB_MAT_MA114-Honey_en21_MS2022.xlf"
"3981"	"Litres"	"Litr"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_uzb-UZB_MAT_MA146-Fuel_en21_MS2022.xlf"
"4252"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"q2MA149_question_q2itemDirections_5c9d21652c3193.71873749_1_0"	"PISA_uzb-UZB_MAT_MA149-FloorArea_en21_MS2022.xlf"
"2568"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA130_question03_Q3ItmDirP1Id_5c9d214b7a7374.86864959_1_0"	"PISA_uzb-UZB_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"4679"	"Use drag and drop to answer the question."	"Savolga javob berish uchun siljiting va joylang."	"q1MA157_question_q1itemDirections_5c9d216571a4f9.75837745_1_0"	"PISA_uzb-UZB_MAT_MA157-Tyres_en21_MS2022.xlf"
"4650"	"Explain your answer."	"Javobingizni izohlang."	"q1MA156_question_q1p2_5c9d2165693a19.29184719_0"	"PISA_uzb-UZB_MAT_MA156-Points_en21_MS2022.xlf"
"3578"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"CMA139_question_q1itemDirections_5c9d2164903766.73853823_1_0"	"PISA_uzb-UZB_MAT_MA139-TabletCover_en21_MS2022.xlf"
"3590"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"xxCMA139_question_q2itemDirections_5c9d2164919bd5.42007175_1_0"	"PISA_uzb-UZB_MAT_MA139-TabletCover_en21_MS2022.xlf"
"3460"	"Select"	"Tanlang"	"q2CMA137_question_q1A0_5c9d216470a101.61255510_0"	"PISA_uzb-UZB_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"1949"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA124_question1_itemDirections1_5c9d214b402246.10061217_1_0"	"PISA_uzb-UZB_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
"4604"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"q1MA154_question_q1itemDirections_5c9d21655bcda0.49975962_1_0"	"PISA_uzb-UZB_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Quyidagi jadvalda mulohazalarning har biri uchun &lt;b&gt;To'g'ri&lt;/b&gt; yoki &lt;b&gt;Noto'g'ri&lt;/b&gt; variantlaridan birini tanlang."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_uzb-UZB_MAT_MA113-HeartRate_en21_MS2022.xlf"
"2230"	"Select"	"Tanlang"	"MA126_question02_S02tr2o0_5c9d214b524d76.91738922_0"	"PISA_uzb-UZB_MAT_MA126-Robot_en21_MS2022.xlf"
"3359"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA136_question01_q1itemDirections_5c9d216460bbf5.70131128_1_0"	"PISA_uzb-UZB_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"2260"	"Select"	"Tanlang"	"MA126_question02_S02tr8o0_5c9d214b528133.68273862_0"	"PISA_uzb-UZB_MAT_MA126-Robot_en21_MS2022.xlf"
"4000"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA146q2_question_q2itemDirections_5c9d2164ecdb44.24311045_1_0"	"PISA_uzb-UZB_MAT_MA146-Fuel_en21_MS2022.xlf"
"3630"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA140_question3_q3itemDirections_5c9d21649dbe63.73800094_1_0"	"PISA_uzb-UZB_MAT_MA140-WalkToSchool_en21_MS2022.xlf"
"3260"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"CMA135_question_q1itemDirections_5c9d21644eed99.25860806_1_0"	"PISA_uzb-UZB_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"3340"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"q4CMA135_question_q4itemDirections_5c9d21645385f9.31439715_1_0"	"PISA_uzb-UZB_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"3721"	"Type your answer to the question."	"Savolga javobingizni yozing."	"MA142_questionq2_q2itemDirections_5c9d2164b45da3.19087883_1_0"	"PISA_uzb-UZB_MAT_MA142-WaterReservoir_en21_MS2022.xlf"
"1401"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA117_question01_q01itemDirections_5c9d214aacc999.01242355_1_0"	"PISA_uzb-UZB_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"3795"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA143_question04_q4itemDirections_5c9d2164c0e144.21102801_1_0"	"PISA_uzb-UZB_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"4696"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"q2MA157_question_q2itemDirections_5c9d216572eb83.90804733_1_0"	"PISA_uzb-UZB_MAT_MA157-Tyres_en21_MS2022.xlf"
"3686"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"q4CMA141_question_q4itemDirections_5c9d2164a9ca08.40004442_1_0"	"PISA_uzb-UZB_MAT_MA141-WaterBill_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Kalkulyatordan foydalanish uchun mazkur bosqichlarni bajaring:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_uzb-UZB_MAT_MA112-Metabolism_en21_MS2022.xlf"
"3771"	"Click on a choice to answer the question."	"Savolga javob berish uchun tanlovni bosing."	"MA143_question02_q2itemDirections_5c9d2164be5399.40648831_1_0"	"PISA_uzb-UZB_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
