"Segment"	"en-ZZ"	"ar-IL"	"ID"	"File"
"5313"	"False"	"خاطئة"	"R567_question08_q08tr1th3_56fc7879157fc1.91910008_0"	"PISA_ara-ISR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1312"	"True"	"صحيحة"	"Q07_question_tr1th2_56fc7820d48a65.56061412_0"	"PISA_ara-ISR_REA_R541-Plastic_en18_MS2022.xlf"
"4769"	"AS A REMINDER TO TAKE  AN HOURLY BREAK"	"&lt;b&gt;ليذكّركم بأخذ استراحة في كلّ ساعة&lt;b&gt;"	"Page2_stimulus_pg2p4_56fc785d53c5f9.05246554_0"	"PISA_ara-ISR_REA_R565-SittingDisease_en18_MS2022.xlf"
"1313"	"False"	"خاطئة"	"Q07_question_tr1th3_56fc7820d48d81.68230758_0"	"PISA_ara-ISR_REA_R541-Plastic_en18_MS2022.xlf"
"4394"	"About Us"	"مَن نحنُ"	"R563-stimulus-communtity_stimulus_culture_community_5_56fc786b34e7e8.94779133_0"	"PISA_ara-ISR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2617"	"Yes"	"&lt;div align=&quot;right&quot;&gt;نعم&lt;/div&gt;"	"R549_question09_q09tr1th2_56fc786ad75317.04955466_0"	"PISA_ara-ISR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"3977"	"No"	"&lt;div align=&quot;right&quot;&gt;لا&lt;/div&gt;"	"R560_question05_q05tr1th3_56fc784a7de774.57578747_0"	"PISA_ara-ISR_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2826"	"Explain your answer."	"فسِّروا إجابتكم."	"R550_question03_q03p2_56fc785ce18c77.85447448_0"	"PISA_ara-ISR_REA_R550-CliffPalace_en18_MS2022.xlf"
"4217"	"Refer to both chats on the right by clicking on each of the tabs."	"&lt;i&gt;استعينوا بالدّردشتَيْن الموجودتَيْن على يسار الشاشة عن طريق الضغط على كلّ واحد من التبويبَيْن."	"R561_question08_q08itemDirections_56fc785d328c27.14811252_0_0"	"PISA_ara-ISR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2922"	"&lt;b&gt;Sent:&lt;/b&gt; 22 March 2015"	"&lt;b&gt;أُرسِل في: &lt;/b&gt; 22 آذار 2015"	"pg1_stimulus_pg1-li2-2_56fd7942570b76.82136909_0"	"PISA_ara-ISR_REA_R552-FestiRock_en18_MS2022.xlf"
"3549"	"Web Search"	"&lt;sup&gt;البحث في الإنترنت&lt;/sup&gt;"	"R558_stimulus3_spgh1_56fc786b02eed0.64758830_0"	"PISA_ara-ISR_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2398"	"Robot Technology and the Future"	"&lt;div align=&quot;right&quot;&gt;تكنولوجيا الروبوت والمُستقبَل&lt;/div&gt;"	"R547_question10_question10_12_56fc782e150538.49173152_0"	"PISA_ara-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"313"	"PHONE"	"الهاتف"	"R219_stimulus_sect3Line2span3_50c7b7390e7951.37087074_0"	"PISA_ara-ISR_REA_R219-Employment_en15_MS2022.xlf"
"5286"	"Refer to the Web Search on the right."	"&lt;i&gt;استعينوا بالبحث في الإنترنت الموجود على يسار الشاشة."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_0_0"	"PISA_ara-ISR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5312"	"True"	"صحيحة"	"R567_question08_q08tr1th2_56fc7879157d44.48840269_0"	"PISA_ara-ISR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2414"	"The Best Video Games: A Review"	"&lt;div align=&quot;right&quot;&gt;استعراض لأَفْضَل ألعاب الفيديو&lt;/div&gt;"	"R547_question10_question10_22_56fc782e154cc3.43306007_0"	"PISA_ara-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"4668"	"Click on the NEXT arrow to read the brochure."	"اضغطوا على سهم &quot;التالي&quot; لقراءة الكرّاسة."	"q00body_q00p3_56fc783b5af5d9.50141633_0"	"PISA_ara-ISR_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"4167"	"True"	"صحيحة"	"R561_question04_q04tr1th2_56fc785d2bc6f9.19184840_0"	"PISA_ara-ISR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1423"	"&lt;b&gt;Michael:&lt;/b&gt;"	"&lt;b&gt;مهنّد:&lt;/b&gt;"	"R542_question00_convp7_56fc782105aad0.84796724_0_0"	"PISA_ara-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"3800"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات. &lt;/i&gt;"	"R559_question02_q02itemDirections_56fc783b259b76.36684830_1_0"	"PISA_ara-ISR_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"5832"	"&lt;b&gt;The Cleanup&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt; حملة التنظيف&lt;/b&gt;&lt;br /&gt;"	"q6R569_question_q06itemTitle_56fc787954a7c8.34539754_0_0"	"PISA_ara-ISR_REA_R569-TheCleanup_en18_MS2022.xlf"
"1479"	"It looks like I might not be able to join the chess club after all."	"يبدو أنّني لن أتمكّن من الانضمام إلى نادي الشطرنج على أيّة حال."	"Q02R542_question_Convp7_56fc782107fe14.69518872_3_0"	"PISA_ara-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5664"	"Who's in the Chat"	"الموجودون في الدردشة"	"R569_stimulus1_chatMemberListTitle2_56fc787947dab7.14177325_0"	"PISA_ara-ISR_REA_R569-TheCleanup_en18_MS2022.xlf"
"2389"	"The Adventures of Volcano Man"	"&lt;div align=&quot;right&quot;&gt;مُغامَرات رَجُل البركان&lt;/div&gt;"	"R547_question10_question10_6_56fc782e14e338.79561687_0"	"PISA_ara-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"2376"	"Fantasy&lt;br/&gt;5%"	"الكتب الخياليّة&lt;br/&gt;5%"	"R547_question10_fantasyLbl_56fc782e14af33.32289400_0"	"PISA_ara-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"2615"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"اضغطوا على &lt;b&gt;نعم&lt;/b&gt; أو &lt;b&gt;لا&lt;/b&gt; بالنّسبة لكلّ جملة."	"R549_question09_q09p1_56fc786ad74676.94123719_1_0"	"PISA_ara-ISR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"1760"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;استعينوا بِكِلا المَرْجعَيْن الموجودَيْن على يسار الشاشة مِن خلال الضغط على كلّ واحد مِن التبويبَيْن."	"R543_question9_itemDirections_56fc78213f7142.41939392_0_0"	"PISA_ara-ISR_REA_R543-Nobel_en18_MS2022.xlf"
"1439"	"&lt;b&gt;Michael:&lt;/b&gt;"	"&lt;b&gt;مهنّد:&lt;/b&gt;"	"Q01R542_question_Convp5_56fc782106b514.17249909_0_0"	"PISA_ara-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"493"	"Amundsen wanted victory at the South Pole. On 14 January 1911, he disembarked in the Antarctic, in the Bay of Whales. He prepared to spend the winter with eight companions and 116 dogs at Framheim, a base built on the Ross Barrier. On 20 October 1911, Amundsen and four of his men set out from Framheim to conquer the South Pole with twelve dogs per sledge. On 17 November, at around 85° South, they reached the foot of a chain of mountains, the Transantarctic Chain, and would now have to find a way across. They then began a terrifying climb up a glacier, the Axel Heiberg, full of crevasses."	"أراد أمندسن احتلال القطب الجنوبي. في 14 كانون الثاني سنة 1911، نزل من سفينته في أنتركتيكا في خليج الحيتان. استعدّ أمندس لقضاء الشتاء مع ثمانية مرافقين و 116 كلبًا في فرامهايم، وهي قاعدة مبنية على حاجز روس. في 20 تشرين الأوّل سنة 1911، انطلق أمندسن مع أربعة من رجاله لاحتلال القطب الجنوبي على متن زلاجات يجرّ كلاً منها 12 كلبًا. في 17 تشرين الثاني حوالي 85 درجة جنوباً، وصلوا إلى أسفل سلسلة جبال ترانس أنتركتيكا، وكان عليهم إيجاد طريق لاجتيازها. بعد ذلك بدأوا تسلّقًا مخيفًا على جبل جليدي (أكسل هايبرغ) المليء بالتصدّعات والشقوق."	"R220_stimulus_p2_50c7c00f156089.45024474_0"	"PISA_ara-ISR_REA_R220-SouthPole_en15_MS2022.xlf"
"2103"	"False"	"خاطئة"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_ara-ISR_REA_R545-MachuPicchu_en18_MS2022.xlf"
"3739"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;استعينوا بالمَرْجعَيْن الموجودَيْن على يسار الشاشة عن طريق الضغط على كلّ واحد مِن التبويبَيْن."	"R558_question09_itemDirections_56fc786b14e033.98417900_0_0"	"PISA_ara-ISR_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"329"	"Look at page &lt;b&gt;1&lt;/b&gt;."	"أنظروا إلى الصفحة &lt;b&gt;1&lt;/b&gt;."	"R220_question_introBullet1_50c7c00ee99599.16613851_0"	"PISA_ara-ISR_REA_R220-SouthPole_en15_MS2022.xlf"
"4224"	"Refer to both chats on the right by clicking on each of the tabs."	"&lt;i&gt;استعينوا بالدّردشتَيْن الموجودتَيْن على يسار الشاشة عن طريق الضغط على كلّ واحد من التبويبَيْن."	"R561_question09_q09itemDirections_56fc785d33ecc7.05935368_0_0"	"PISA_ara-ISR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"2799"	"Spring"	"الربيع"	"R550_question01_question01_3_56fc785cdd6460.09428460_0"	"PISA_ara-ISR_REA_R550-CliffPalace_en18_MS2022.xlf"
"3747"	"Explain your answer."	"فسِّروا إجابتكم."	"R558_question09_Q09p6_56fc786b1501c7.47953831_0"	"PISA_ara-ISR_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4276"	"Then click on the NEXT arrow."	"ثمّ اضغطوا على سهم &quot;التالي&quot;. &lt;/i&gt;"	"q00body_q00itemDirections_56fc783b3f8a36.71119956_1_0"	"PISA_ara-ISR_REA_R562-OpeningNight_en18_MS2022.xlf"
"5287"	"Click on a search result to answer the question."	"للإجابة عن السؤال، اضغطوا على إحدى نتائج البحث.&lt;/i&gt;"	"R567_question06_q06itemDirections_56fc7879127de3.09243109_1_0"	"PISA_ara-ISR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5542"	"True"	"صحيحة"	"R568_question02_q02tr1th2_56fc784aa47db9.34290218_0"	"PISA_ara-ISR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات ثم اكتبوا تفسيرًا.&lt;/i&gt;"	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_ara-ISR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4423"	"About Us"	"مَن نحنُ"	"R563-stimulus-communtity_stimulus_culture_music_5_56fc786b3667e1.34991282_0"	"PISA_ara-ISR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3075"	"Yes"	"&lt;div align=&quot;right&quot;&gt;نعم&lt;/div&gt;"	"R552_question04_tr1th2_56fd794262dc90.38196051_0"	"PISA_ara-ISR_REA_R552-FestiRock_en18_MS2022.xlf"
"3073"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"اضغطوا على &lt;b&gt;نعم&lt;/b&gt; أو &lt;b&gt;لا&lt;/b&gt; بالنّسبة لكلّ جملة."	"R552_question04_q04p1_56fd794262d554.82542321_1_0"	"PISA_ara-ISR_REA_R552-FestiRock_en18_MS2022.xlf"
"4632"	"Type your answers to the questions."	"اكتبوا إجاباتكم عن السؤال.&lt;/i&gt;"	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_ara-ISR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2373"	"One book must be a non-fiction book"	"أحَد الكتب يجب أنْ يَكون معلوماتيًّا"	"R547_question10_q10l1i2_56fc782e14a1f5.53976147_0"	"PISA_ara-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"638"	"Click on &lt;b&gt;2&lt;/b&gt; to look at page &lt;b&gt;2&lt;/b&gt;."	"اضغطوا على &lt;b&gt;2&lt;/b&gt; لرؤية الصفحة &lt;b&gt;2&lt;/b&gt;."	"R404_question_introBullet2_50c7c7f6bc0fe0.14313790_0"	"PISA_ara-ISR_REA_R404-Sleep_en15_MS2022.xlf"
"1444"	"Didn’t you tell me you were going to join?"	"ألم تخبرني بأنّك ستنضمّ إليّه؟"	"Q01R542_question_Convp6_56fc782106b821.03976464_2_0"	"PISA_ara-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"3217"	"&lt;i&gt;Read the information below."	"&lt;i&gt;اقرؤوا المعلومات التالية،"	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_0_0"	"PISA_ara-ISR_REA_R553-HealthForum_en18_MS2022.xlf"
"1559"	"Monday"	"الأحد"	"Q09R542_question_Q09r2c1_56fc7821124854.81457215_0"	"PISA_ara-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"3717"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;استعينوا بالمَرْجعَيْن الموجودَيْن على يسار الشاشة عن طريق الضغط على كلّ واحد مِن التبويبَيْن."	"R558_question8_itemDirections_56fc786b1259f5.61081922_0_0"	"PISA_ara-ISR_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5639"	"“No, I don’t believe this idea is the solution."	"&quot;كلا، أنا لا أعتقد بأنّ هذه الفكرة هي الحلّ."	"R568_question09_q09p1_56fc784aaf54f2.48102179_1_0"	"PISA_ara-ISR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5467"	"Image Credit: NASA"	"تصوير: وكالة ناسا"	"page2_stimulus_stimulusTab1_3_56fc784aa14495.49572288_1_0"	"PISA_ara-ISR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3786"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات. &lt;/i&gt;"	"R559_question01_q01itemDirections_56fc783b245423.47469729_1_0"	"PISA_ara-ISR_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"5771"	"&lt;b&gt;The Cleanup&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt; حملة التنظيف&lt;/b&gt;&lt;br /&gt;"	"q2R569_question_q02itemTitle_56fc78794f2d31.82534613_0_0"	"PISA_ara-ISR_REA_R569-TheCleanup_en18_MS2022.xlf"
"5775"	"Use drag and drop to answer the question."	"للإجابة عن السؤال، استخدموا الجرّ واللصق.&lt;/i&gt;"	"q2R569_question_q02itemDirections_56fc78794f33a1.24376468_1_0"	"PISA_ara-ISR_REA_R569-TheCleanup_en18_MS2022.xlf"
"637"	"Look at page &lt;b&gt;1&lt;/b&gt;."	"انظروا إلى الصفحة &lt;b&gt;1&lt;/b&gt;."	"R404_question_introBullet1_50c7c7f6bc0c85.09359389_0"	"PISA_ara-ISR_REA_R404-Sleep_en15_MS2022.xlf"
"409"	"&lt;i&gt;Refer to the documents in &quot;South Pole&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;استعينوا بالوثائق في &quot;القطب الجنوبي&quot; الموجودة على يسار الشاشة. للإجابة عن السؤال، اضغطوا على أحد الخيارات.&lt;/i&gt;"	"R220_question_itemDirections_50c7c00f0c8787.66812026_0"	"PISA_ara-ISR_REA_R220-SouthPole_en15_MS2022.xlf"
"4205"	"Refer to both chats on the right by clicking on each of the tabs."	"&lt;i&gt;استعينوا بالدّردشتَيْن الموجودتَيْن على يسار الشاشة عن طريق الضغط على كلّ واحد من التبويبَيْن."	"R561_question07_q07itemDirections_56fc785d30dd05.49847214_0_0"	"PISA_ara-ISR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"3828"	"Click on a choice to answer the question."	"للإجابة عن السؤال، اضغطوا على أحد الخيارات. &lt;/i&gt;"	"R559_question04_q04itemDirections_56fc783b27f456.31679060_1_0"	"PISA_ara-ISR_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"2378"	"Graphic Novel/ Comics&lt;br/&gt;28%"	"الرواية المُصَوَّرة/كوميكس&lt;br/&gt;28%"	"R547_question10_comicsLbl_56fc782e14b486.46787487_0"	"PISA_ara-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"2595"	"Yes"	"&lt;div align=&quot;right&quot;&gt;نعم&lt;/div&gt;"	"R549_question08_q08tr1th2_56fc786ad56e61.77071180_0"	"PISA_ara-ISR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"2420"	"The Compass and the Abyss"	"&lt;div align=&quot;right&quot;&gt;البُوْصَلة والهاوية&lt;/div&gt;"	"R547_question10_question10_26_56fc782e156ab8.08740832_0"	"PISA_ara-ISR_REA_R547-BookSurvey_en18_MS2022.xlf"
"3076"	"No"	"&lt;div align=&quot;right&quot;&gt;لا&lt;/div&gt;"	"R552_question04_tr1th3_56fd794262df01.17012828_0"	"PISA_ara-ISR_REA_R552-FestiRock_en18_MS2022.xlf"
"1469"	"You will still see them eventually."	"في نهاية الأمر لا بدّ أنْ تراها."	"Q02R542_question_Convp4_56fc782107f633.50285251_2_0"	"PISA_ara-ISR_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5269"	"True"	"صحيحة"	"R567_question05_q05tr1th2_56fc787910f8b1.79894974_0"	"PISA_ara-ISR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2102"	"True"	"صحيحة"	"R545_question03_Q03tr1th2_56fc7821ad9111.87122059_0"	"PISA_ara-ISR_REA_R545-MachuPicchu_en18_MS2022.xlf"
