"Segment"	"en-ZZ"	"mn-MN"	"ID"	"File"
"2098"	"Click on a choice to answer the question.&lt;/i&gt;"	"асуултад хариулахын тулд сонголт дээр дарна уу.&lt;/i&gt;"	"R543_question1_itemDirections_5c9d219e7968e9.01052398_1_0"	"PISA_mon-MNG_REA_R543-Nobel_en21_MS2022.xlf"
"5121"	"Image Credit: NASA"	"Зургийн эрх: НАСА"	"page2_stimulus_stimulusTab1_2_5c9d225b8c6386.71216999_1_0"	"PISA_mon-MNG_REA_R568-SpaceDebris_en21_MS2022.xlf"
"2290"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Баруун талд байгаа хоёр өгүүлэл тус бүрийн гарчиг дээр дарж уншина уу."	"R544_question13_itemDirections_5c9d219eb05504.42221208_0_0"	"PISA_mon-MNG_REA_R544-Tesla_en21_MS2022.xlf"
"2167"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Баруун талд байгаа хоёр эх сурвалжийн тус бүрийн гарчиг дээр дарж уншина уу."	"R543_question9_itemDirections_5c9d219e878ca2.23836517_0_0"	"PISA_mon-MNG_REA_R543-Nobel_en21_MS2022.xlf"
"4657"	"&lt;i&gt;Refer to the posters on the right by clicking on each of the tabs."	"&lt;i&gt;Баруун талд байгаа гарчиг тус бүр дээр дарж зурагт хуудсуудыг үзээд,"	"R565_question2_itemDirections_5c9d225af32f63.48100809_0_0"	"PISA_mon-MNG_REA_R565-SittingDisease_en21_MS2022.xlf"
"2839"	"Home"	"Эхлэл"	"R550_stimulus01_stimulus1_1_5c9d219f69a644.99289541_0"	"PISA_mon-MNG_REA_R550-CliffPalace_en21_MS2022.xlf"
"4207"	"Click on a sentence in the story to answer the question."	"Асуултад хариулахын тулд өгүүлэл дэх өгүүлбэр дээр дарна уу."	"R562_question03_q03p3_5c9d225a8741c6.53636970_0"	"PISA_mon-MNG_REA_R562-OpeningNight_en21_MS2022.xlf"
"5356"	"Read the Introduction."	"Танилцуулгыг уншина уу."	"q00a-body_q00a-itemDirections_5c9d225bbbd163.29252885_0_0"	"PISA_mon-MNG_REA_R569-TheCleanup_en21_MS2022.xlf"
"4726"	"Newspaper Article"	"Сонины Нийтлэл"	"R566_Stimulus03_stimulus3_4_5c9d225b1dda78.84246250_0"	"PISA_mon-MNG_REA_R566-SkelligRocks_en21_MS2022.xlf"
"4050"	"Read the Introduction."	"Танилцуулгыг уншина уу."	"q00a-body_q00a-p1_5c9d225a4e1663.65993573_0_0"	"PISA_mon-MNG_REA_R561-OlympicFlag_en21_MS2022.xlf"
"4398"	"Refer to the different webpages of the website on the right."	"Баруун талын веб сайтын өөр өөр веб хуудсуудыг уншаад,"	"R563_question01_q01itemDirections_5c9d225aa81f50.68031492_0_0"	"PISA_mon-MNG_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"5007"	"Click on the choices in the table to answer the question."	"Асуултад хариулахын тулд хүснэгтийн сонголтууд дээр дарна уу."	"R567_question09_q09itemDirections_5c9d225b667296.26876893_1_0"	"PISA_mon-MNG_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"4090"	"Click on the choices in the table to answer the question."	"асуултад хариулахын тулд хүснэгтийн сонголтууд дээр дарна уу."	"R561_question04_q04itemDirections_5c9d225a584ac1.71572491_1_0"	"PISA_mon-MNG_REA_R561-OlympicFlag_en21_MS2022.xlf"
"2319"	"Click on a choice to answer the question.&lt;/i&gt;"	"асуултад хариулахын тулд сонголт дээр дарна уу.&lt;/i&gt;"	"R544_question5_itemDirections_5c9d219eb518f0.13045807_1_0"	"PISA_mon-MNG_REA_R544-Tesla_en21_MS2022.xlf"
"3051"	"Refer to the different webpages of the website on the right."	"Баруун талын өөр өөр цахим хуудсыг уншаад"	"R550_question09_q09itemDirections_5c9d219f8862b6.83517833_0_0"	"PISA_mon-MNG_REA_R550-CliffPalace_en21_MS2022.xlf"
"3795"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R559_question02_q02itemDirections_5c9d225a0a89e5.45985887_1_0"	"PISA_mon-MNG_REA_R559-NaliniNadkarni_en21_MS2022.xlf"
"3677"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"асуултад хариулахын тулд хүснэгтийн сонголтууд дээр дарна уу.&lt;/i&gt;"	"R558_question2_itemDirections_5c9d2259d6cf69.19154311_1_0"	"PISA_mon-MNG_REA_R558-MicrowaveOvens_en21_MS2022.xlf"
"4658"	"Type your answer to the question.&lt;/i&gt;"	"асуултад хариулж бичнэ үү.&lt;/i&gt;"	"R565_question2_itemDirections_5c9d225af32f63.48100809_1_0"	"PISA_mon-MNG_REA_R565-SittingDisease_en21_MS2022.xlf"
"4834"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R566_question04_q04itemDirections_5c9d225b2cb4d1.11527511_1_0"	"PISA_mon-MNG_REA_R566-SkelligRocks_en21_MS2022.xlf"
"4972"	"on the right."	"-г уншаад,"	"R567_question04_q04itemDirections_5c9d225b5e6145.15954865_1_0"	"PISA_mon-MNG_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"2854"	"Home"	"Эхлэл"	"R550_ancestral_ancestral_l1_5c9d219f6ae374.84078531_0"	"PISA_mon-MNG_REA_R550-CliffPalace_en21_MS2022.xlf"
"4417"	"Refer to the different webpages of the website on the right."	"Баруун талын веб сайтын өөр өөр веб хуудсуудыг уншаад,"	"R563_question04_q04itemDirections_5c9d225aacdf88.57641426_0_0"	"PISA_mon-MNG_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"4823"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R566_question03_q03itemDirections_5c9d225b2b2f50.49516650_1_0"	"PISA_mon-MNG_REA_R566-SkelligRocks_en21_MS2022.xlf"
"4539"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R564_question04_q04itemDirections_5c9d225adaca53.72529344_1_0"	"PISA_mon-MNG_REA_R564-SebastiaoSalgado_en21_MS2022.xlf"
"3817"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R559_question05_q05itemDirections_5c9d225a0e2ce7.46367068_1_0"	"PISA_mon-MNG_REA_R559-NaliniNadkarni_en21_MS2022.xlf"
"4505"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R564_question01_q01itemDirections_5c9d225ad74907.41710504_1_0"	"PISA_mon-MNG_REA_R564-SebastiaoSalgado_en21_MS2022.xlf"
"4443"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R563_question06_q06itemDirections_5c9d225ab08fb8.61774619_1_0"	"PISA_mon-MNG_REA_R563-QuestionOfTheWeek_en21_MS2022.xlf"
"5550"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R570_question02_q02itemDirections_5c9d225be73056.15969994_1_0"	"PISA_mon-MNG_REA_R570-TheFavour_en21_MS2022.xlf"
"4796"	"Click on the NEXT arrow to read the article."	"Нийтлэлийг уншихын тулд ДАРААХ гэсэн суман дээр дарна уу."	"q00a-body_q00a-p2_5c9d225b241d39.66934073_0"	"PISA_mon-MNG_REA_R566-SkelligRocks_en21_MS2022.xlf"
"3568"	"Click on a choice to answer the question.&lt;/i&gt;"	"асуултад хариулахын тулд сонголт дээр дарна уу.&lt;/i&gt;"	"R556_question8_itemDirections_5c9d21a02a9c27.07477347_1_0"	"PISA_mon-MNG_REA_R556-Microlending_en21_MS2022.xlf"
"5587"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R570_question06_q06itemDirections_5c9d225bece499.21816193_1_0"	"PISA_mon-MNG_REA_R570-TheFavour_en21_MS2022.xlf"
"3032"	"Refer to the different webpages of the website on the right."	"Баруун талын өөр өөр цахим хуудсыг уншаад,"	"R550_question07_q07itemDirections_5c9d219f846bb7.02619439_0_0"	"PISA_mon-MNG_REA_R550-CliffPalace_en21_MS2022.xlf"
"4799"	"Read the information below."	"Доорх мэдээллийг уншина уу."	"q00b-body_q00b-itemDirections_5c9d225b2548f7.48007221_0_0"	"PISA_mon-MNG_REA_R566-SkelligRocks_en21_MS2022.xlf"
"3925"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R560_question06_q06itemDirections_5c9d225a2dfd60.74432509_1_0"	"PISA_mon-MNG_REA_R560-GarbagePatch_en21_MS2022.xlf"
"4702"	"Newspaper Article"	"Сонины Нийтлэл"	"R566_Stimulus01_stimulus1_4_5c9d225b1ba0c1.01552199_0"	"PISA_mon-MNG_REA_R566-SkelligRocks_en21_MS2022.xlf"
"5413"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"q3R569_question_q03itemDirections_5c9d225bc19df3.83780861_1_0"	"PISA_mon-MNG_REA_R569-TheCleanup_en21_MS2022.xlf"
"5599"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R570_question08_q08itemDirections_5c9d225bf00637.46983770_1_0"	"PISA_mon-MNG_REA_R570-TheFavour_en21_MS2022.xlf"
"2438"	"Click on a choice to answer the question."	"Асуултад тохирох хариулт дээр дарна уу."	"R545_question02_Q07itemDirections_5c9d219edfaf65.54153013_1_0"	"PISA_mon-MNG_REA_R545-MachuPicchu_en21_MS2022.xlf"
"4685"	"Click on a choice to answer the question.&lt;/i&gt;"	"Асуултад хариулахын тулд сонголт дээр дарна уу.&lt;/i&gt;"	"R565_question7_itemDirections_5c9d225b067290.45114409_1_0"	"PISA_mon-MNG_REA_R565-SittingDisease_en21_MS2022.xlf"
"5253"	"Click on the NEXT arrow to read the article."	"Нийтлэлийг уншихын тулд ДАРААХ гэсэн суман дээр дарна уу."	"q0b-body_q0b-p2_5c9d225b9d8ad3.57377464_0"	"PISA_mon-MNG_REA_R568-SpaceDebris_en21_MS2022.xlf"
"1844"	"Click on a choice to answer the question."	"Асуултад тохирох хариулт дээр дарна уу."	"Q10_question_Q10itemDirections_5c9d219e404365.43207718_1_0"	"PISA_mon-MNG_REA_R541-Plastic_en21_MS2022.xlf"
"4067"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R561_question01_q01itemDirections_5c9d225a515840.43883744_1_0"	"PISA_mon-MNG_REA_R561-OlympicFlag_en21_MS2022.xlf"
"5393"	"Use drag and drop to answer the question."	"асуултад хариулахын тулд чирч, зөв газар нь байрлуулна уу."	"q2R569_question_q02itemDirections_5c9d225bc00fc8.49987510_1_0"	"PISA_mon-MNG_REA_R569-TheCleanup_en21_MS2022.xlf"
"5365"	"Read the information below."	"Доорх мэдээллийг уншина уу."	"q00b-body_q00b-itemDirections_5c9d225bbd1911.77188529_0_0"	"PISA_mon-MNG_REA_R569-TheCleanup_en21_MS2022.xlf"
"4078"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R561_question03_q03itemDirections_5c9d225a55d7e2.08697913_1_0"	"PISA_mon-MNG_REA_R561-OlympicFlag_en21_MS2022.xlf"
"5259"	"Click on a choice and type an explanation to answer the question."	"Асуултад хариулахын тулд сонголт дээр дараад, тайлбар бичнэ үү."	"R568_question10_q10itemDirections_5c9d225b9f0d59.48638070_1_0"	"PISA_mon-MNG_REA_R568-SpaceDebris_en21_MS2022.xlf"
"5519"	"Read the information below."	"Доорх мэдээллийг уншина уу."	"q00b-body_q00b-itemDirections_5c9d225be38126.14757364_0_0"	"PISA_mon-MNG_REA_R570-TheFavour_en21_MS2022.xlf"
"5046"	"Click on the NEXT arrow to read the webpage."	"Цахим хуудсыг уншихын тулд ДАРААХ гэсэн суман дээр дарна уу."	"q0a-body_q0a-p3_5c9d225b68bf31.21236283_0"	"PISA_mon-MNG_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"4696"	"Click on a choice to answer the question.&lt;/i&gt;"	"Асуултад хариулахын тулд сонголт дээр дарна уу.&lt;/i&gt;"	"R565_question8_itemDirections_5c9d225b080195.44434060_1_0"	"PISA_mon-MNG_REA_R565-SittingDisease_en21_MS2022.xlf"
"3559"	"Type your answer to the question.&lt;/i&gt;"	"асуултад хариулж бичнэ үү.&lt;/i&gt;"	"R556_question7_itemDirections_5c9d21a02923d2.20334776_1_0"	"PISA_mon-MNG_REA_R556-Microlending_en21_MS2022.xlf"
"5062"	"Refer to “Smokejumper Requirements” on the right."	"Баруун талд байгаа &quot;Шүхэрчин-гал сөнөөгчийн Шаардлага&quot;-г уншаад,"	"R568_question10_q10itemDirections_5c9d225b6c40d0.03274707_0_0"	"PISA_mon-MNG_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"3020"	"Refer to the different webpages of the website on the right."	"Баруун талын өөр өөр цахим хуудсыг уншаад,"	"R550_question06_q06itemDirections_5c9d219f8126c8.01970899_0_0"	"PISA_mon-MNG_REA_R550-CliffPalace_en21_MS2022.xlf"
"3784"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R559_question01_q01itemDirections_5c9d225a094583.08629248_1_0"	"PISA_mon-MNG_REA_R559-NaliniNadkarni_en21_MS2022.xlf"
"558"	"On 9 January 1912, they reached latitude 88°23'5&quot;."	"Бердмор мөсөн сарьдгийн бэлд хүрэв. 1912 оны 1 сарын 9-нд тэд 88°23'5&quot; өргөрөгт ирлээ."	"R220_stimulus_p5_5c9d217d961d59.34286375_0_0"	"PISA_mon-MNG_REA_R220-SouthPole_en21_MS2022.xlf"
"5215"	"Click on a search result to answer the question."	"асуултад хариулахын тулд хайлтын үр дүн дээр дарна уу."	"R568_question05_q05itemDirections_5c9d225b943d37.21487688_1_0"	"PISA_mon-MNG_REA_R568-SpaceDebris_en21_MS2022.xlf"
"5382"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"q1R569_question_q01itemDirections_5c9d225bbe7a46.56649318_1_0"	"PISA_mon-MNG_REA_R569-TheCleanup_en21_MS2022.xlf"
"3247"	"Refer to all the sources on the right by clicking on each of the tabs."	"Баруун талд байгаа нийт эхүүдийн гарчиг дээр дарж уншина уу."	"R552_question08_q08itemDirections_5c9d219fb6bba9.54470094_0_0"	"PISA_mon-MNG_REA_R552-FestiRock_en21_MS2022.xlf"
"2144"	"Click on a choice to answer the question.&lt;/i&gt;"	"асуултад хариулахын тулд сонголт дээр дарна уу.&lt;/i&gt;"	"R543_question5_itemDirections_5c9d219e828549.10101766_1_0"	"PISA_mon-MNG_REA_R543-Nobel_en21_MS2022.xlf"
"4984"	"Click on a search result to answer the question."	"асуултад хариулахын тулд хайлтын үр дүн дээр дарна уу."	"R567_question06_q06itemDirections_5c9d225b6157e5.34768799_1_0"	"PISA_mon-MNG_REA_R567-SmokeJumpers_en21_MS2022.xlf"
"3177"	"Date:"	"Он сар өдөр:"	"pg3_stimulus_pg3p9_5c9d219fa86542.42115572_0"	"PISA_mon-MNG_REA_R552-FestiRock_en21_MS2022.xlf"
"3384"	"Click on a choice to answer the question.&lt;/i&gt;"	"асуултад хариулахын тулд сонголт дээр дарна уу.&lt;/i&gt;"	"R553_question4_q04itemDirections_5c9d219fde8d53.78783329_1_0"	"PISA_mon-MNG_REA_R553-HealthForum_en21_MS2022.xlf"
"4802"	"Click on the NEXT arrow to read the website."	"Веб сайтыг уншихын тулд ДАРААХ гэсэн суман дээр дарна уу."	"q00b-body_q00b-p2_5c9d225b254bc8.65241268_0"	"PISA_mon-MNG_REA_R566-SkelligRocks_en21_MS2022.xlf"
"5258"	"Refer to both sources on the right by clicking on each of the tabs."	"Баруун талд байгаа хоёр эх сурвалжийн гарчиг тус бүр дээр дарж хараарай."	"R568_question10_q10itemDirections_5c9d225b9f0d59.48638070_0_0"	"PISA_mon-MNG_REA_R568-SpaceDebris_en21_MS2022.xlf"
"5235"	"Click on a choice to answer the question."	"асуултад хариулахын тулд сонголт дээр дарна уу."	"R568_question08_q08itemDirections_5c9d225b990248.85148475_1_0"	"PISA_mon-MNG_REA_R568-SpaceDebris_en21_MS2022.xlf"
