"Segment"	"en-ZZ"	"ko-KR"	"ID"	"File"
"1062"	"County/ State:"	""	"R466_stimulus_s2line11_50c7c9915ae0c0.96807300_0"	"PISA_kor-KOR_REA_R466-WorkRight_en15_MS2022.xlf"
"304"	"S"	"일"	"R219_stimulus_stimulus_10_50c7b7cb8ddc41.07736320_0"	"PISA_kor-KOR_REA_R219-Employment_en15_MS2022.xlf"
"2784"	"Read the Introduction."	"아래의 내용을 읽은 후"	"q00body_q00itemDirections_56fc785cdb7056.90765917_0_0"	"PISA_kor-KOR_REA_R550-CliffPalace_en18_MS2022.xlf"
"5844"	"Click on a choice and then type an explanation to answer the question."	"답을 하나 클릭한 후 그 이유를 입력하시오."	"q7R569_question_q7itemDirections_56fc7879565396.04415883_1_0"	"PISA_kor-KOR_REA_R569-TheCleanup_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"안내책자에 의하면, 다음 내용은 참인가 거짓인가?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_kor-KOR_REA_R545-MachuPicchu_en18_MS2022.xlf"
"3739"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;오른쪽 화면의 각 탭을 클릭하여 두 자료를 읽고,"	"R558_question09_itemDirections_56fc786b14e033.98417900_0_0"	"PISA_kor-KOR_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5640"	"Do you have any idea how much space debris is already in orbit?”"	"이미 궤도상에 얼마나 많은 우주 쓰레기가 있는지 아십니까?&quot;"	"R568_question09_q09p1_56fc784aaf54f2.48102179_2_0"	"PISA_kor-KOR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3929"	"Click on a search result to answer the question."	"검색 결과 중에서 하나를 선택하여 클릭하시오."	"R560_question01_q01itemDirections_56fc784a78e486.20169494_1_0"	"PISA_kor-KOR_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2587"	"&lt;b&gt;Message in a Bottle&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;병 속의 편지&lt;/b&gt;&lt;br /&gt;"	"R549_question08_q08itemTitle_56fc786ad55b97.32838384_0_0"	"PISA_kor-KOR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"3018"	"Read the Introduction."	"아래의 내용을 읽은 후"	"q00a-body_q00a-itemDirections_56fd79425c7be5.80957375_0_0"	"PISA_kor-KOR_REA_R552-FestiRock_en18_MS2022.xlf"
"3713"	"Click on a search result to answer the question."	"물음에 답하기 위해 검색 결과를 하나 골라 클릭하시오."	"R558_question7_question07_2_56fc786b10ac54.73473157_1_0"	"PISA_kor-KOR_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"3931"	"Click on a search result to answer the question."	"검색 결과 중에서 하나를 선택하여 클릭하시오."	"R560_question01_q0p1_56fc784a78e849.04466877_1_0"	"PISA_kor-KOR_REA_R560-GarbagePatch_en18_MS2022.xlf"
"1902"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;오른쪽 화면의 각 탭을 클릭하여 두 자료를 읽고,"	"R544_question12_itemDirections_56fc78216b9a04.98619256_0_0"	"PISA_kor-KOR_REA_R544-Tesla_en18_MS2022.xlf"
"2485"	"Read the Introduction."	"아래의 내용을 읽은 후,"	"q00a-body_q00a-itemDirections_56fc786aca1045.24770633_0_0"	"PISA_kor-KOR_REA_R549-MessageInABottle_en18_MS2022.xlf"
