"Segment"	"en-ZZ"	"pt-BR"	"ID"	"File"
"2635"	"Type your answer to the question."	"Digite sua resposta para a questão. &lt;/i&gt;"	"R549_question10_q10itemDirections_56fc786ad94ab3.52290992_1_0"	"PISA_por-BRA_REA_R549-MessageInABottle_en18_MS2022.xlf"
"488"	"&lt;b&gt;SOUTH POLE - Document 1&lt;/b&gt;"	"&lt;b&gt;POLO SUL- documento 1&lt;/b&gt;"	"R220_stimulus_title_50d375123eff67.81133818_0"	"PISA_por-BRA_REA_R220-SouthPole_en15_MS2022.xlf"
"5296"	"Refer to the Web Search on the right."	"&lt;i&gt;Consulte a pesquisa&lt;i&gt; on-line&lt;/i&gt; à direita."	"R567_question07_q07itemDirections_56fc787913cff0.88321485_0_0"	"PISA_por-BRA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3610"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Em seguida, clique na seta PRÓXIMO.&lt;/i&gt;"	"question00a_1_itemDirections00_56fc786b06b0d0.94993680_1_0"	"PISA_por-BRA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"1150"	"Click on a choice to answer the question."	"Clique na opção correta para responder à questão."	"R540Q05Body_Q05itemDirections_56fc7820b50ae8.46984171_1_0"	"PISA_por-BRA_REA_R540-BuildingALegend_en18_MS2022.xlf"
"3378"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Em seguida, clique na seta PRÓXIMO.&lt;/i&gt;"	"question00_itemDirections00_56fc783ab76215.52042641_1_0"	"PISA_por-BRA_REA_R556-Microlending_en18_MS2022.xlf"
"5246"	"Give one example."	"Cite um exemplo."	"R567_question03_q03p2_56fc78790e6a67.23961686_0"	"PISA_por-BRA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4182"	"Use drag and drop to answer the question."	"Use &quot;arrastar e soltar&quot; para responder à questão."	"R561_question05_q05itemDirections_56fc785d2dbd00.55276440_1_0"	"PISA_por-BRA_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4134"	"Type your answer to the question."	"Clique em uma opção e digite uma justificativa para sua resposta à questão."	"R561_question02_q02itemDirections_56fc785d28cac5.31556981_1_0"	"PISA_por-BRA_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4673"	"Click on a choice to answer the question."	"Clique na opção correta para responder à questão.&lt;/i&gt;"	"R564_question01_q01itemDirections_56fc783b5be821.70996521_1_0"	"PISA_por-BRA_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"4162"	"Click on the choices in the table to answer the question."	"Clique nas opções na tabela para responder à questão."	"R561_question04_q04itemDirections_56fc785d2bb824.31060928_1_0"	"PISA_por-BRA_REA_R561-OlympicFlag_en18_MS2022.xlf"
"70"	"R102 Shirts"	"R102 CAMISAS"	"R102_stimulus_unknownID_50d3678f3dd693.40695952_0"	"PISA_por-BRA_REA_R102-Shirts_en15_MS2022.xlf"
"3680"	"Click on a choice to answer the question.&lt;/i&gt;"	"Clique na opção correta para responder à questão.&lt;/i&gt;"	"R558_question5_itemDirections_56fc786b0dd1f3.21650180_1_0"	"PISA_por-BRA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"1851"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Em seguida, clique na seta PRÓXIMO.&lt;/i&gt;"	"question0b_1_itemDirections00_56fc782165fc64.42851849_1_0"	"PISA_por-BRA_REA_R544-Tesla_en18_MS2022.xlf"
"4394"	"About Us"	"Quem somos"	"R563-stimulus-communtity_stimulus_culture_community_5_56fc786b34e7e8.94779133_0"	"PISA_por-BRA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5655"	"Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Consulte as fontes à direita clicando em cada uma das abas no topo da página."	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_0_0"	"PISA_por-BRA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4701"	"Click on a choice to answer the question."	"Clique na opção correta para responder à questão.&lt;/i&gt;"	"R564_question03_q03itemDirections_56fc783b5e5cd1.57939726_1_0"	"PISA_por-BRA_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"5771"	"&lt;b&gt;The Cleanup&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;A  Limpeza&lt;/b&gt;&lt;br /&gt;"	"q2R569_question_q02itemTitle_56fc78794f2d31.82534613_0_0"	"PISA_por-BRA_REA_R569-TheCleanup_en18_MS2022.xlf"
"4584"	"Refer to the different webpages of the website on the right."	"Consulte as diferentes páginas do site à direita."	"R563_question07_q07itemDirections_56fc786b47b763.06450393_0_0"	"PISA_por-BRA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4482"	"About Us"	"Quem somos"	"R563-stimulus-news_stimulus_news_5_56fc786b3a5726.69858954_0"	"PISA_por-BRA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4535"	"Refer to the different webpages of the website on the right."	"Consulte as diferentes páginas do site à direita."	"R563_question04_q04itemDirections_56fc786b4263f7.31451763_0_0"	"PISA_por-BRA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1164"	"Click on a choice to answer the question."	"Clique na opção correta para responder à questão."	"R540Q06Body_Q06itemDirections_56fc7820b64505.70915829_1_0"	"PISA_por-BRA_REA_R540-BuildingALegend_en18_MS2022.xlf"
"3618"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Em seguida, clique na seta PRÓXIMO.&lt;/i&gt;"	"question00b_1_itemDirections00_56fc786b079021.97854133_1_0"	"PISA_por-BRA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"1129"	"Click on a choice to answer the question."	"Clique na opção correta para responder à questão."	"R540Q03Body_Q03itemDirections_56fc7820b2e412.09495403_1_0"	"PISA_por-BRA_REA_R540-BuildingALegend_en18_MS2022.xlf"
"5636"	"Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Consulte as fontes à direita clicando em cada uma das abas no topo da página."	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_0_0"	"PISA_por-BRA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5648"	"Read the information below."	"Leia a informação abaixo."	"q0b-body_q0b-itemDirections_56fc784ab20015.89980695_0_0"	"PISA_por-BRA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5644"	"Then click on the NEXT arrow."	"Em seguida, clique na seta PRÓXIMO.&lt;/i&gt;"	"q0a-body_q0a-itemDirections_56fc784ab0be40.63295573_1_0"	"PISA_por-BRA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4566"	"Refer to the different webpages of the website on the right."	"Consulte as diferentes páginas do site à direita."	"R563_question06_q06itemDirections_56fc786b45cd07.83714228_0_0"	"PISA_por-BRA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5656"	"Click on a choice and type an explanation to answer the question."	"Clique em uma opção e justifique sua resposta.&lt;/i&gt;"	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_1_0"	"PISA_por-BRA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3626"	"Click on a choice to answer the question.&lt;/i&gt;"	"Clique na opção correta para responder à questão.&lt;/i&gt;"	"R558_question01_itemDirections_56fc786b088cb0.75370623_1_0"	"PISA_por-BRA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2003"	"&lt;i&gt;Refer to “Man of the Future” on the right."	"&lt;i&gt;Consulte “Um homem do futuro” à direita."	"R544_question8_itemDirections_56fc7821801f42.81584931_0_0"	"PISA_por-BRA_REA_R544-Tesla_en18_MS2022.xlf"
"5947"	"Click on a choice to answer the question."	"Clique na opção correta para responder à questão."	"R570_question01_q01itemDirections_56fc787977c2c5.49256860_1_0"	"PISA_por-BRA_REA_R570-TheFavour_en18_MS2022.xlf"
"3660"	"Click on a choice to answer the question.&lt;/i&gt;"	"Clique na opção correta para responder à questão.&lt;/i&gt;"	"R558_question_itemDirections_56fc786b0b1541.82805878_1_0"	"PISA_por-BRA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5269"	"True"	"Verdadeiro"	"R567_question05_q05tr1th2_56fc787910f8b1.79894974_0"	"PISA_por-BRA_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4551"	"Refer to the different webpages of the website on the right."	"Consulte as diferentes páginas do site à direita."	"R563_question05_q05itemDirections_56fc786b43f8f6.16712887_0_0"	"PISA_por-BRA_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3718"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Clique nas opções na tabela para responder à questão.&lt;/i&gt;"	"R558_question8_itemDirections_56fc786b1259f5.61081922_1_0"	"PISA_por-BRA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
