"Segment"	"en-ZZ"	"ar-PS"	"ID"	"File"
"4918"	"Select from the drop-down menus to answer the question."	"اختر من القائمة المنسدلة  للإجابة عن السؤال."	"q2MA160_question_q2itemDirections_5c9d21377dca25.20636236_2_0"	"PISA_ara-PSE_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"3288"	"Use drag and drop to answer the question."	"استخدم السحب والإفلات للإجابة عن السؤال"	"CMA135_question3_q3itemDirections_5c9d216451d087.67360697_0"	"PISA_ara-PSE_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"4159"	"C"	"س"	"MA148_stimulus2_stimulus2_1_5c9d216518d045.04859359_0"	"PISA_ara-PSE_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"744"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"Q2M110_question_Q2itemDirections_5c9d214a4ad912.55794775_1_0"	"PISA_ara-PSE_MAT_MA110-HeadphoneOrder_en21_MS2022.xlf"
"3760"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA143_question01_q1itemDirections_5c9d2164bd09f7.43448559_1_0"	"PISA_ara-PSE_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"تذكّر أن تختار &lt;b&gt;مربعًا أو أكثر&lt;/b&gt;."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_ara-PSE_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"4696"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"q2MA157_question_q2itemDirections_5c9d216572eb83.90804733_1_0"	"PISA_ara-PSE_MAT_MA157-Tyres_en21_MS2022.xlf"
"4225"	"A"	"أ"	"MA149_stimulus2_img2Lbl1_5c9d2165299540.34702392_0"	"PISA_ara-PSE_MAT_MA149-FloorArea_en21_MS2022.xlf"
"4764"	"Click on the choices in the table to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"q2MA158_question_q2itemDirections_5c9d21657cb1d1.11526137_1_0"	"PISA_ara-PSE_MAT_MA158-EyeColour_en21_MS2022.xlf"
"3444"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"xxCMA137_question_q1itemDirections_5c9d21646f0047.88877228_1_0"	"PISA_ara-PSE_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"2790"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA131_question1_q1itemDirections_5c9d214ba1ed50.83741588_1_0"	"PISA_ara-PSE_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"3217"	"Using the number keys, type your answers to the question."	"اطبع إجابة السؤال باستخدام لوحة الأرقام."	"Q2MA134_question_Q2ItmDirP1Id_5c9d216433ba20.91339777_1_0"	"PISA_ara-PSE_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"3545"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"q2CMA138_question_q2itemDirections_5c9d21648472a1.52007146_1_0"	"PISA_ara-PSE_MAT_MA138-ShoeSizes_en21_MS2022.xlf"
"3329"	"A"	"أ"	"CMA135_question3_question03_19_5c9d2164520b42.34486685_0"	"PISA_ara-PSE_MAT_MA135-ElectricBicycle_en21_MS2022.xlf"
"4422"	"Click on the choices in the table to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"q1MA152_question_q1itemDirections_5c9d21654f6b95.79333200_1_0"	"PISA_ara-PSE_MAT_MA152-TheBetterDeal_en21_MS2022.xlf"
"2416"	"Select from the drop-down menus to answer the question."	"اختر من القائمة المنسدلة  للإجابة عن السؤال."	"Q1MA122_question_Q1ItmDirP1Id_5c9d21372895a9.88816326_1_0"	"PISA_ara-PSE_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"انقرْ على &lt;b&gt;نعم&lt;/b&gt; أو &lt;b&gt;لا&lt;/b&gt;  لكل عبارة."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_ara-PSE_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"3189"	"A"	"أ"	"Q1MA134_question_Q01tr1td1SELECT1o1_5c9d2164317bf7.69076389_0"	"PISA_ara-PSE_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"انقر على أحد البدائل ثم اطبع تفسيرك للإجابة عن السؤال."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_ara-PSE_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1976"	"Explain your answer."	"اشرح إجابتك."	"Q3MA124_question_MA124Q03P3_5c9d214b42a550.23637236_0"	"PISA_ara-PSE_MAT_MA124-ZedlandTopography_en21_MS2022.xlf"
"4616"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"q2MA154_question_q2itemDirections_5c9d21655d41c9.81604829_1_0"	"PISA_ara-PSE_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4112"	"Click on a choice to answer the question."	"انقر على أحد البدائل للإجابة عن السؤال."	"MA147q3_question_q3itemDirections_5c9d21650a0484.20685545_1_0"	"PISA_ara-PSE_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
