"Segment"	"en-ZZ"	"id-ID"	"ID"	"File"
"2537"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"Q1MA129_question_Q1ItmDirP1Id_5c9d214b77ec40.66176260_1_0"	"PISA_ind-IDN_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"3938"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"MA145_question1_q1itemDirections_5c9d2164dfb137.21186139_1_0"	"PISA_ind-IDN_MAT_MA145-Shadows_en21_MS2022.xlf"
"3783"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"MA143_question03_q3itemDirections_5c9d2164bfa911.33589323_1_0"	"PISA_ind-IDN_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"1727"	"5 stars"	"5 Bintang"	"question0a_1_Q00tr2td1_5c9d214b0037c7.14409063_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Ingatlah untuk memilih &lt;b&gt;satu kotak atau lebih&lt;/b&gt;."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_ind-IDN_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"1412"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"MA117_question02_Q02itemDirections_5c9d214aae26f7.68113286_1_0"	"PISA_ind-IDN_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"4656"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"q2MA156_question_q2itemDirections_5c9d21656a4d34.03623252_1_0"	"PISA_ind-IDN_MAT_MA156-Points_en21_MS2022.xlf"
"2289"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"MA126_question03_itemDirectionsQ03_5c9d214b54ba12.68549963_1_0"	"PISA_ind-IDN_MAT_MA126-Robot_en21_MS2022.xlf"
"3534"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"q1CMA138_question_q1itemDirections_5c9d2164836508.25884822_1_0"	"PISA_ind-IDN_MAT_MA138-ShoeSizes_en21_MS2022.xlf"
"2300"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"MA126_question04_itemDirectionsQ04_5c9d214b568386.90812819_1_0"	"PISA_ind-IDN_MAT_MA126-Robot_en21_MS2022.xlf"
"3162"	"&lt;b&gt; Total &lt;/b&gt;"	"&lt;b&gt; Jumlah &lt;/b&gt;"	"MA134_stimulus3_stimulus03_45_5c9d21642f31d1.99013301_0"	"PISA_ind-IDN_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"4904"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Klik &lt;b&gt;Ya&lt;/b&gt; atau &lt;b&gt;Tidak&lt;/b&gt; untuk setiap pernyataan."	"q1MA160_question_q1p1_5c9d21377c3598.13096072_1_0"	"PISA_ind-IDN_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
"1915"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"MA128_question3_q3itemDirections_5c9d214b34d864.30750173_1_0"	"PISA_ind-IDN_MAT_MA123-SolarSystem_en21_MS2022.xlf"
"2559"	"Using the number keys, type your answer to the question."	"Ketik jawabanmu  dalam bentuk angka  terhadap pertanyaan berikut."	"Q2MA129_question_Q2ItmDirP1Id_5c9d214b793427.46399402_1_0"	"PISA_ind-IDN_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"2448"	"Using the number keys, type your answers to the question."	"Ketik jawabanmu dalam bentuk angka terhadap pertanyaan berikut."	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_1_0"	"PISA_ind-IDN_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"5402"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Klik &lt;b&gt;Ya&lt;/b&gt; atau &lt;b&gt;Tidak&lt;/b&gt; untuk setiap pernyataan."	"q3MA160_question_q3p2_5c9d2137d54e96.19323569_1_0"	"PISA_ind-IDN_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"733"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"Q1M110_question_Q1itemDirections_5c9d214a49be54.59438497_1_0"	"PISA_ind-IDN_MAT_MA110-HeadphoneOrder_en21_MS2022.xlf"
"744"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"Q2M110_question_Q2itemDirections_5c9d214a4ad912.55794775_1_0"	"PISA_ind-IDN_MAT_MA110-HeadphoneOrder_en21_MS2022.xlf"
"3771"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"MA143_question02_q2itemDirections_5c9d2164be5399.40648831_1_0"	"PISA_ind-IDN_MAT_MA143-WildBirdFood_en21_MS2022.xlf"
"4284"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"q1MA150_question_q1itemDirections_5c9d216537c7b0.77693579_1_0"	"PISA_ind-IDN_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"1194"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"MA114_question2_itemDirections2_5c9d214a83b1e3.67009864_1_0"	"PISA_ind-IDN_MAT_MA114-Honey_en21_MS2022.xlf"
"4753"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"q1MA158_question_q1itemDirections_5c9d21657b6927.43068957_1_0"	"PISA_ind-IDN_MAT_MA158-EyeColour_en21_MS2022.xlf"
"3949"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"MA145_question2_q2itemDirections_5c9d2164e0e799.91065994_1_0"	"PISA_ind-IDN_MAT_MA145-Shadows_en21_MS2022.xlf"
"4591"	"A"	"Z"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_ind-IDN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1625"	"4 stars"	"4 Bintang"	"Page02_stimulus_S02tr3td1_5c9d214af008a2.51968565_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"4202"	"Click on a choice and then type an explanation to answer the question."	"Klik pada satu pilihan jawaban dan ketiklah penjelasan untuk jawabanmu."	"q3MA148_question_q3itemDirections_5c9d21651d9930.88789683_1_0"	"PISA_ind-IDN_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"4616"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"q2MA154_question_q2itemDirections_5c9d21655d41c9.81604829_1_0"	"PISA_ind-IDN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"604"	"Use the simulator to help you answer the question below."	"Gunakan simulator untuk membantumu menjawab pertanyaan berikut."	"MA108q03_question_q03itemDirections_5c9d2136c3a341.57185648_1_0"	"PISA_ind-IDN_MAT_MA108-Fountains_en21_MS2022.xlf"
"1667"	"3 stars"	"3 Bintang"	"Page03_stimulus_S03tr4td1_5c9d214af1d647.73277759_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"5019"	"Mean"	"Rata-rata"	"MA161_stimulus_mean_5c9d213799a198.65253612_0"	"PISA_ind-IDN_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4112"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"MA147q3_question_q3itemDirections_5c9d21650a0484.20685545_1_0"	"PISA_ind-IDN_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"4604"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"q1MA154_question_q1itemDirections_5c9d21655bcda0.49975962_1_0"	"PISA_ind-IDN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4086"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"MA147q1_question_q1itemDirections_5c9d2165076508.53769328_1_0"	"PISA_ind-IDN_MAT_MA147-AeroplaneTickets_en21_MS2022.xlf"
"4778"	"Click on a choice and then type an explanation to answer the question."	"Klik pada satu pilihan jawaban dan ketiklah penjelasan untuk jawabanmu."	"q3MA158_question_q3itemDirections_5c9d21657e1f71.24263233_1_0"	"PISA_ind-IDN_MAT_MA158-EyeColour_en21_MS2022.xlf"
"1700"	"4 stars"	"4 Bintang"	"Page03_stimulus_S03T2tr3td1_5c9d214af206e0.37166178_0"	"PISA_ind-IDN_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"1119"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"Q01MMA113_question_Q01itemDirections_5c9d214a6aa466.58921399_1_0"	"PISA_ind-IDN_MAT_MA113-HeartRate_en21_MS2022.xlf"
"3235"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"Q3MA134_question_Q3ItmDirP1Id_5c9d2164359530.23831900_1_0"	"PISA_ind-IDN_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"Klik pada satu pilihan jawaban dan ketik penjelasan untuk menjawab pertanyaan berikut."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_ind-IDN_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Ingatlah untuk memilih &lt;b&gt;satu kotak atau lebih&lt;/b&gt;."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_ind-IDN_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"2815"	"Using the number keys, type your answer to the question."	"Ketik jawabanmu  dalam bentuk angka  terhadap pertanyaan berikut."	"MA131_question3_q3itemDirections_5c9d214ba44d01.96114808_1_0"	"PISA_ind-IDN_MAT_MA131-TravellingByTrain_en21_MS2022.xlf"
"3914"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Klik pada &lt;b&gt;Benar&lt;/b&gt; atau &lt;b&gt;Salah&lt;/b&gt; untuk setiap pernyataan."	"q3MA144_question_q3p1_5c9d2164d149f9.75927623_1_0"	"PISA_ind-IDN_MAT_MA144-Yogurt_en21_MS2022.xlf"
"1333"	"Using the number keys, type your answer to the question."	"Ketik jawabanmu  dalam bentuk angka  terhadap pertanyaan berikut."	"MA116_question2_itemDirections2_5c9d214a9b0fd8.94394432_1_0"	"PISA_ind-IDN_MAT_MA116-InternationalSchool_en21_MS2022.xlf"
"1145"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"Q03MA113_question_Q03itemDirections_5c9d214a6e0c82.46175181_1_0"	"PISA_ind-IDN_MAT_MA113-HeartRate_en21_MS2022.xlf"
"2708"	"Use drag and drop to answer the question."	"Kilk, geser, dan letakkan jawaban yang sesuai untuk menjawab pertanyaan."	"MA130_question1_q01itemDirections_5c9d214b8a46d8.20840124_1_0"	"PISA_ind-IDN_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"4577"	"D"	"P"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_ind-IDN_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2568"	"Click on a choice to answer the question."	"&lt;i&gt;Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut.&lt;/i&gt;"	"MA130_question03_Q3ItmDirP1Id_5c9d214b7a7374.86864959_1_0"	"PISA_ind-IDN_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"3989"	"Click on a choice to answer the question."	"Klik pada satu pilihan jawaban untuk menjawab pertanyaan berikut."	"MA146q1_question_q1itemDirections_5c9d2164eb6c14.66337389_1_0"	"PISA_ind-IDN_MAT_MA146-Fuel_en21_MS2022.xlf"
