"Segment"	"en-ZZ"	"be-BY"	"ID"	"File"
"5925"	"Read the Introduction."	"Прачытайце ўводзіны."	"q00a-body_q00a-itemDirections_56fc787974a2a3.06881981_0_0"	"PISA_bel-BLR_REA_R570-TheFavour_en18_MS2022.xlf"
"1856"	"Click on the NEXT arrow to read the second source."	"Націсніце на стрэлку ДАЛЕЙ, каб прачытаць гэту крыніцу."	"question0b_1_q00p2_56fc7821660387.38299255_0"	"PISA_bel-BLR_REA_R544-Tesla_en18_MS2022.xlf"
"244"	"&lt;b&gt;Exchange&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Праграма абмену&lt;/b&gt;&lt;br /&gt; Пытанне"	"R111_question_itemTitle_56f9cf6a86ab97.00486438_0"	"PISA_bel-BLR_REA_R111-Exchange_en18_MS2022.xlf"
"308"	"TO"	"ПА"	"R219_stimulus_sect4Line3span4_56f9cf6a89a478.31415454_0"	"PISA_bel-BLR_REA_R219-Employment_en18_MS2022.xlf"
"2487"	"Read the Introduction."	"Прачытайце ўводзіны."	"q00a-body_q00a-itemDirections_56fc786aca1045.24770633_0_0"	"PISA_bel-BLR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"478"	"On 1 June 1910, on an old Scottish whaler, the Terra Nova, the party of the Englishman (sixty-five men, seventeen ponies and thirty dogs) set out from the continent of Europe. Preparations had taken nearly a year. The expedition had a dual purpose: to carry out a scientific research programme and also, of course, to conquer the South Pole. Suddenly, Scott was to discover a formidable rival, Norwegian Roald Amundsen."	"1 чэрвеня 1910 група англічан (шэсцьдзясят пяць чалавек, сямнаццаць поні і трыццаць сабак) выправілася з еўрапейскага кантынента на старым шатландскім кітабоі &quot;Terra Nova&quot; (&quot;Новая Зямля&quot;). Падрыхтоўка заняла амаль год. Экспедыцыя мела дзве мэты: выканаць праграму навуковых даследаванняў, а таксама, канечне, скарыць Паўднёвы полюс. Нечакана Скот даведаўся, што ў яго ёсць грозны сапернік &amp;mdash; нарвежац Руаль Амундсен."	"R220_stimulus_p1_56f9cf6a969515.33401527_0"	"PISA_bel-BLR_REA_R220-SouthPole_en18_MS2022.xlf"
"1025"	"&lt;b&gt;10 Years £100 offer&lt;br /&gt; Sogec Management&lt;br /&gt; 41 Shore Rd, Pittville&lt;br /&gt; Hampshire, PI15 9SA&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Рэкламная акцыя &quot;Нам 10 гадоў &amp;mdash; вам 100 рублёў&quot;&lt;br /&gt; Кампанія &quot;Зручны офіс&quot;&lt;br /&gt; 222519, Мінская вобласць, Барысаўскі р-н,&lt;br /&gt; г. Барысаў, вул. Дняпроўская, 15&lt;/b&gt;&lt;br /&gt;"	"R466_stimulus_line5b_56f9cf6b205792.77107122_0"	"PISA_bel-BLR_REA_R466-WorkRight_en18_MS2022.xlf"
"5741"	"Read the Introduction."	"Прачытайце ўводзіны."	"q00a-body_q00a-itemDirections_56fc78794b5369.48599087_0_0"	"PISA_bel-BLR_REA_R569-TheCleanup_en18_MS2022.xlf"
"5991"	"Click on the choices in the table to answer the question."	"Адзначце варыянты ў табліцы, каб адказаць на пытанне."	"R570_question04_q04itemDirections_56fc78797ba5c3.15040997_1_0"	"PISA_bel-BLR_REA_R570-TheFavour_en18_MS2022.xlf"
"481"	"On 14 December 1911, Amundsen and his companions reached the legendary 90°. On 25 January 1912, the victorious team was back at Framheim, the return journey completed in 97 days."	"14 снежня 1911 Амундсен са спадарожнікамі дасягнуў неверагоднага 90°. 25 студзеня 1912 пераможная каманда вярнулася ў &quot;Фрамхейм&quot;, адолеўшы зваротны шлях за 97 дзён."	"R220_stimulus_p4_56f9cf6a969e50.41003844_0"	"PISA_bel-BLR_REA_R220-SouthPole_en18_MS2022.xlf"
"396"	"Document 1 describes the different stages of the contest between two teams, led by:"	"Дакумент 1 апісвае розныя этапы спаборніцтваў паміж дзвюма камандамі, якія ўзначальвалі:"	"R220_stimulus_abstract_56f9cf6a917932.10787604_0"	"PISA_bel-BLR_REA_R220-SouthPole_en18_MS2022.xlf"
"3379"	"&lt;i&gt;Read the introduction."	"&lt;i&gt;Прачытайце ўводзіны."	"question00_itemDirections00_56fc783ab76215.52042641_0_0"	"PISA_bel-BLR_REA_R556-Microlending_en18_MS2022.xlf"
"3719"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Звярніцеся да абедзвюх крыніц справа, націснуўшы на патрэбную ўкладку."	"R558_question8_itemDirections_56fc786b1259f5.61081922_0_0"	"PISA_bel-BLR_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"4169"	"True"	"Правільна"	"R561_question04_q04tr1th2_56fc785d2bc6f9.19184840_0"	"PISA_bel-BLR_REA_R561-OlympicFlag_en18_MS2022.xlf"
"489"	"&lt;b&gt;SOUTH POLE - Document 2&lt;/b&gt;"	"&lt;b&gt;ПАЎДНЁВЫ ПОЛЮС - Дакумент 2&lt;/b&gt;"	"R220_stimulus_title_56f9cf6a985906.00956521_0"	"PISA_bel-BLR_REA_R220-SouthPole_en18_MS2022.xlf"
"2103"	"Is the statement true or false?"	"Паводле рэкламнага буклета, гэта сцверджанне з'яўляецца праўдай ці няпраўдай?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_bel-BLR_REA_R545-MachuPicchu_en18_MS2022.xlf"
"487"	"R220 South Pole"	"220 Паўднёвы полюс"	"R220_stimulus_unknownID_56f9cf6a9847e1.05597304_0"	"PISA_bel-BLR_REA_R220-SouthPole_en18_MS2022.xlf"
"2578"	"Click on a choice to answer the question."	"Адзначце адзін з варыянтаў, каб адказаць на пытанне."	"R549_question07_q07itemDirections_56fc786ad40030.43832098_1_0"	"PISA_bel-BLR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"485"	"In the southern spring of 1912 the bodies of Scott and his companions, their travel diaries and last letters were found."	"Паўднёвай вясной 1912 былі знойдзены целы Скота і яго таварышаў, іх падарожныя дзённікі і апошнія лісты."	"R220_stimulus_p6_56f9cf6a96a797.07917863_0"	"PISA_bel-BLR_REA_R220-SouthPole_en18_MS2022.xlf"
"4812"	"Then click on the NEXT arrow.&lt;/i&gt;"	"Потым націсніце на стрэлку ДАЛЕЙ."	"question00a_1_itemDirections00_56fc785d589cb2.39315232_1_0"	"PISA_bel-BLR_REA_R565-SittingDisease_en18_MS2022.xlf"
"573"	"&lt;b&gt;South Pole&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Паўднёвы полюс&lt;/b&gt;&lt;br /&gt; Пытанне"	"R220_question_itemTitle_56f9cf6aa01e23.04141733_0"	"PISA_bel-BLR_REA_R220-SouthPole_en18_MS2022.xlf"
"5604"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Націсніце на &lt;b&gt;Так&lt;/b&gt; ці &lt;b&gt;Не&lt;/b&gt; для кожнага выказвання."	"R568_question07_q07p1_56fc784aab9828.09212164_1_0"	"PISA_bel-BLR_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2563"	"Click on a choice to answer the question."	"Адзначце адзін з варыянтаў, каб адказаць на пытанне."	"R549_question06_q06itemDirections_56fc786ad2b6d6.09014130_1_0"	"PISA_bel-BLR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"3075"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Націсніце на &lt;b&gt;Так&lt;/b&gt; ці &lt;b&gt;Не&lt;/b&gt; для кожнага сцвярджэння."	"R552_question04_q04p1_56fd794262d554.82542321_1_0"	"PISA_bel-BLR_REA_R552-FestiRock_en18_MS2022.xlf"
"5003"	"Read the Introduction."	"Прачытайце ўводзіны."	"q00a-body_q00a-itemDirections_56fc786b7b49b2.24533594_0_0"	"PISA_bel-BLR_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1020"	"&lt;b&gt;1/ Buy&lt;/b&gt; one or more Work Right products* on the same day from your usual retailer between 15th December  and 31st January:&lt;br /&gt;"	"&lt;b&gt;1/ Набудзьце&lt;/b&gt; адзін ці больш тавараў кампаніі &quot;Зручны офіс&quot;* адной пакупкай у звычайнага рознічнага прадаўца з 15-га снежня да 31-га студзеня:&lt;br /&gt;"	"R466_stimulus_section2_56f9cf6b204d95.86389327_0"	"PISA_bel-BLR_REA_R466-WorkRight_en18_MS2022.xlf"
"284"	"T"	"Чацвер"	"R219_stimulus_stimulus_7_56f9cf6a8927d2.90779144_0"	"PISA_bel-BLR_REA_R219-Employment_en18_MS2022.xlf"
"4518"	"Click on a choice to answer the question."	"Адзначце адзін з варыянтаў, каб адказаць на пытанне."	"R563_question02_q02itemDirections_56fc786b3ef669.06586663_1_0"	"PISA_bel-BLR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"5165"	"Web Search"	"Пошук у інтэрнэце"	"R567_stimulus3_pg03h1_56fc7879075bd6.57758343_0"	"PISA_bel-BLR_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1667"	"A Prize for Peace"	"«Прэмія за мір»"	"R543_question11_question11_2_56fc782133e7b2.36296298_0"	"PISA_bel-BLR_REA_R543-Nobel_en18_MS2022.xlf"
"2501"	"Click on a choice to answer the question."	"Адзначце адзін з варыянтаў, каб адказаць на пытанне."	"R549_question01_q01itemDirections_56fc786acc1966.50302132_1_0"	"PISA_bel-BLR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"691"	"Then click on the NEXT arrow to view the first question."	"Потым націсніце на стрэлку ДАЛЕЙ, каб пазнаёміцца з першым пытаннем."	"R404_question_introBullet3_56f9cf6abc7ba0.43470301_0"	"PISA_bel-BLR_REA_R404-Sleep_en18_MS2022.xlf"
"896"	"Statement"	"Выказванне"	"R455_question_tr1th1_56f9cf6b1351d0.67595951_0"	"PISA_bel-BLR_REA_R455-ChocolateAndHealth_en18_MS2022.xlf"
"4501"	"Read the Introduction."	"Прачытайце ўводзіны."	"q00-body_q00-itemDirections_56fc786b3bd0d1.16007011_0_0"	"PISA_bel-BLR_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"2617"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Націсніце на &lt;b&gt;Так&lt;/b&gt; ці &lt;b&gt;Не&lt;/b&gt; для кожнага сцвярджэння."	"R549_question09_q09p1_56fc786ad74676.94123719_1_0"	"PISA_bel-BLR_REA_R549-MessageInABottle_en18_MS2022.xlf"
"3044"	"Click on a choice to answer the question."	"Адзначце адзін з варыянтаў, каб адказаць на пытанне."	"R552_question02_q02itemDirections_56fd79425f4d97.71214953_1_0"	"PISA_bel-BLR_REA_R552-FestiRock_en18_MS2022.xlf"
