"Segment"	"en-ZZ"	"sr-RS"	"ID"	"File"
"2212"	"&lt;b&gt;Book Survey&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Istraživanje o knjigama&lt;/b&gt;"	"R547_question01_itemTitle_56fc782e08ac82.92618959_0_0"	"PISA_srp-SRB_REA_R547-BookSurvey_en18_MS2022.xlf"
"3647"	"Click on a search result to answer the question."	"Odgovori na pitanje tako što ćeš kliknuti na rezultat pretrage."	"R558_question7_question07_2_56fc786b10ac54.73473157_1_0"	"PISA_srp-SRB_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"3642"	"Click on a search result to answer the question.&lt;/i&gt;"	"Odgovori na pitanje tako što ćeš kliknuti na jedan rezultat pretrage.&lt;/i&gt;"	"R558_question7_itemDirections_56fc786b10a3c6.39234435_1_0"	"PISA_srp-SRB_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5760"	"Football Field"	"Na fudbalskom terenu"	"q5R569_question_question05_5_56fc7879535569.34262971_0"	"PISA_srp-SRB_REA_R569-TheCleanup_en18_MS2022.xlf"
"5201"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Klikni na  &lt;b&gt;Tačna&lt;/b&gt; ili &lt;b&gt;Netačna&lt;/b&gt; za svaku tvrdnju."	"R567_question05_q05p1_56fc787910f162.59215709_1_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"374"	"&lt;b&gt;SOUTH POLE - Document 1&lt;/b&gt;"	"&lt;b&gt;JUŽNI POL - Dokument 1&lt;/b&gt;"	"R220_stimulus_title_56d724d3c52556.10319837_0"	"PISA_srp-SRB_REA_R220-SouthPole_en18_MS2022.xlf"
"5220"	"Refer to the Web Search on the right."	"Koristi informacije iz pretrage interneta sa desne strane."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_0_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4876"	"Website"	"veb-sajt"	"R566_Stimulus03_stimulus3_6_56fc786b74d361.28053469_0"	"PISA_srp-SRB_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5681"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"q00b-body_q00b-itemDirections_56fc78794c5e44.05134546_1_0"	"PISA_srp-SRB_REA_R569-TheCleanup_en18_MS2022.xlf"
"2037"	"False"	"Netačna"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_srp-SRB_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5247"	"False"	"Netačna"	"R567_question08_q08tr1th3_56fc7879157fc1.91910008_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"6109"	"Then click on the NEXT arrow.&lt;/i&gt;"	"zatim klikni na strelicu DALJE."	"q00body_q00itemDirections_56fd23111a5057.38756393_1_0"	"PISA_srp-SRB_REA_R590-Sentences01_en18_MS2022.xlf"
"5304"	"1"	"46"	"R567_question09_attr_value_attr_R567Q09RADIO_5_2_56fc787917f360.05301786_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5302"	"1"	"46"	"R567_question09_attr_value_attr_R567Q09RADIO_4_2_56fc787917f191.97091446_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4936"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"q00a-body_q00a-itemDirections_56fc786b7b49b2.24533594_1_0"	"PISA_srp-SRB_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5040"	"✓ &lt;i&gt;Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes.&lt;/i&gt;"	"&amp;check; &lt;i&gt;Ne zaboravi da izabereš &lt;b&gt;jedan ili više&lt;/b&gt; kvadratića.&lt;/i&gt;"	"R566_question07_q07p2_56fc786b8be128.35981027_0"	"PISA_srp-SRB_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1162"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"R541_question_q00introDirections_56fc7820cc9fa3.35314138_1_0"	"PISA_srp-SRB_REA_R541-Plastic_en18_MS2022.xlf"
"3673"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Koristi informacije iz oba izvora sa desne strane tako što ćeš kliknuti na svaki od prozora."	"R558_question09_itemDirections_56fc786b14e033.98417900_0_0"	"PISA_srp-SRB_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2201"	"&lt;i&gt;Refer to the School’s Email on the right."	"&lt;i&gt;Koristi informacije iz školskog imejla sa desne strane."	"R547_question2_itemDirections_56fc782e072020.06902189_0_0"	"PISA_srp-SRB_REA_R547-BookSurvey_en18_MS2022.xlf"
"4744"	"Then click on the NEXT arrow.&lt;/i&gt;"	"zatim klikni na strelicu DALJE. &lt;/i&gt;"	"question00a_1_itemDirections00_56fc785d589cb2.39315232_1_0"	"PISA_srp-SRB_REA_R565-SittingDisease_en18_MS2022.xlf"
"1837"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Odgovori na pitanje tako što ćeš kliknuti ispred izabranog odgovora, a zatim obrazloži svoj izbor. &lt;/i&gt;"	"R544_question12_itemDirections_56fc78216b9a04.98619256_1_0"	"PISA_srp-SRB_REA_R544-Tesla_en18_MS2022.xlf"
"377"	"Amundsen, the Norwegian"	"Amundsen, Norvežanin"	"R220_stimulus_li2_56d724d3c52e27.30971862_0"	"PISA_srp-SRB_REA_R220-SouthPole_en18_MS2022.xlf"
"1836"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Koristi oba izvora sa desne strane, koja otvaraš tako što ćeš kliknuti na svaki od prozora."	"R544_question12_itemDirections_56fc78216b9a04.98619256_0_0"	"PISA_srp-SRB_REA_R544-Tesla_en18_MS2022.xlf"
"3863"	"Click on a search result to answer the question."	"Odgovori na pitanje tako što ćeš klknuti na jedan od rezultata pretrage."	"R560_question01_q01itemDirections_56fc784a78e486.20169494_1_0"	"PISA_srp-SRB_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2300"	"&lt;b&gt;Book Survey&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Istraživanje o knjigama&lt;/b&gt;"	"R547_question10_itemTitle_56fc782e148f80.10384208_0_0"	"PISA_srp-SRB_REA_R547-BookSurvey_en18_MS2022.xlf"
"451"	"&lt;b&gt;SOUTH POLE - Document 1&lt;/b&gt;"	"&lt;b&gt;JUŽNI POL - Dokument 1&lt;/b&gt;"	"R220_stimulus_title_56d724d3c9deb9.60921456_0"	"PISA_srp-SRB_REA_R220-SouthPole_en18_MS2022.xlf"
"5589"	"Refer to both sources on the right by clicking on each of the tabs."	"Koristi informacije iz oba izvora sa desne strane tako što ćeš kliknuti na svaki od prozora."	"R568_question10_q10itemDirections_56fc784ab36f21.34700073_0_0"	"PISA_srp-SRB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"6006"	"Type your answer to the question."	"Napiši odgovor na pitanje."	"R570_question09_q09itemDirections_56fc7879881e32.81696271_1_0"	"PISA_srp-SRB_REA_R570-TheFavour_en18_MS2022.xlf"
"5709"	"Use drag and drop to answer the question."	"Odgovori na pitanje koristeći opciju „prevuci i spusti”."	"q2R569_question_q02itemDirections_56fc78794f33a1.24376468_1_0"	"PISA_srp-SRB_REA_R569-TheCleanup_en18_MS2022.xlf"
"5319"	"Read the information below."	"Pročitaj informaciju ispod,"	"q0b-body_q0b-itemDirections_56fc78791b8ef9.93560623_0_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5761"	"Parking Lot"	"Na parkingu"	"q5R569_question_question05_6_56fc7879535924.61187469_0"	"PISA_srp-SRB_REA_R569-TheCleanup_en18_MS2022.xlf"
"5556"	"Click on a choice to answer the question."	"Odgovori na pitanje klikom na jednu od ponuđenih opcija."	"R568_question08_q08itemDirections_56fc784aadc160.19925657_1_0"	"PISA_srp-SRB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"6093"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"q0cR590_question_q0citemDirections_56fd2311163946.15922865_1_0"	"PISA_srp-SRB_REA_R590-Sentences01_en18_MS2022.xlf"
"4214"	"&lt;b&gt;Opening Night&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Premijera &lt;/b&gt;&lt;br /&gt;"	"R562_question01_q01itemTitle_56fc783b4081b5.03866160_0_0"	"PISA_srp-SRB_REA_R562-OpeningNight_en18_MS2022.xlf"
"5570"	"Refer to both sources on the right by clicking on each of the tabs."	"Koristi informacije iz oba izvora sa desne strane tako što ćeš kliknuti na svaki od prozora."	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_0_0"	"PISA_srp-SRB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2569"	"Type your answer to the question."	"Napiši odgovor na pitanje."	"R549_question10_q10itemDirections_56fc786ad94ab3.52290992_1_0"	"PISA_srp-SRB_REA_R549-MessageInABottle_en18_MS2022.xlf"
"5192"	"1"	"46"	"R567_question04_attr_value_attr_R567Q04RADIO_1_56fc78790faa15.99856807_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5097"	"Web Search"	"Pretraga interneta"	"R567_stimulus3_pg03h1_56fc7879075bd6.57758343_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5778"	"Click on a choice and then type an explanation to answer the question."	"Odgovori na pitanje tako što ćeš kliknuti ispred izabranog odgovora, a zatim obrazloži svoj izbor."	"q7R569_question_q7itemDirections_56fc7879565396.04415883_1_0"	"PISA_srp-SRB_REA_R569-TheCleanup_en18_MS2022.xlf"
"5571"	"Type your answer to the question."	"Napiši odgovor na pitanje."	"R568_question09_q09itemDirections_56fc784aaf50f2.75963302_1_0"	"PISA_srp-SRB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1564"	"Read the information below."	"Pročitaj informacije ispod,"	"question0b_1_itemDirections00_56fc7821309e26.00768085_0_0"	"PISA_srp-SRB_REA_R543-Nobel_en18_MS2022.xlf"
"5674"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"q00a-body_q00a-itemDirections_56fc78794b5369.48599087_1_0"	"PISA_srp-SRB_REA_R569-TheCleanup_en18_MS2022.xlf"
"3963"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"q00bbody_q00bitemDirections_56fc784a8325e9.36857198_1_0"	"PISA_srp-SRB_REA_R560-GarbagePatch_en18_MS2022.xlf"
"4854"	"Web Search"	"Pretraga interneta"	"R566_stimulus02_pg02h1_56fc786b739df1.59155193_0"	"PISA_srp-SRB_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5199"	"Click on the choices in the table to answer the question."	"Odgovori na pitanje tako što ćeš kliknuti na izabrane odgovore u tabeli."	"R567_question05_q05itemDirections_56fc787910ed76.86602726_1_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2262"	"&lt;b&gt;Book Survey&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Istraživanje o knjigama&lt;/b&gt;"	"R547_question7_itemTitle_56fc782e0f7710.10056702_0_0"	"PISA_srp-SRB_REA_R547-BookSurvey_en18_MS2022.xlf"
"5257"	"1"	"46"	"R567_question08_attr_value_attr_R567Q08RADIO_3_2_56fc787915b4f0.73295973_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4971"	"Type your answer to the question."	"Napiši odgovor na pitanje."	"R566_question02_q02itemDirections_56fc786b806f13.34096544_1_0"	"PISA_srp-SRB_REA_R566-SkelligRocks_en18_MS2022.xlf"
"1634"	"&lt;i&gt;Refer to “Alfred Bernhard Nobel” on the right."	"&lt;i&gt;Koristi informacije iz teksta „Alfred Bernard Nobel&quot; sa desne strane."	"R543_question4_itemDirections_56fc7821381578.06834284_0_0"	"PISA_srp-SRB_REA_R543-Nobel_en18_MS2022.xlf"
"5300"	"1"	"46"	"R567_question09_attr_value_attr_R567Q09RADIO_3_2_56fc787917efc7.24353929_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5242"	"Click on the choices in the table to answer the question."	"Odgovori na pitanje tako što ćeš kliknuti na izabrane odgovore u tabeli."	"R567_question08_q08itemDirections_56fc78791571c6.14754122_1_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"2035"	"Is the statement true or false?"	"Da li je tvrdnja tačna ili netačna?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_srp-SRB_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5358"	"1"	"46"	"R567_question11_attr_value_attr_R567Q11RADIO_3_2_56fc78792047d4.92574344_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5770"	"Type your answer to the question."	"Napiši odgovor na pitanje."	"q6R569_question_q06itemDirections_56fc787954aeb9.99591068_1_0"	"PISA_srp-SRB_REA_R569-TheCleanup_en18_MS2022.xlf"
"5923"	"Click on the choices in the table to answer the question."	"Odgovori na pitanje tako što ćeš kliknuti na izabrane odgovore u tabeli."	"R570_question04_q04itemDirections_56fc78797ba5c3.15040997_1_0"	"PISA_srp-SRB_REA_R570-TheFavour_en18_MS2022.xlf"
"4672"	"Type your answer to the question."	"Napiši odgovor na pitanje."	"R564_question06_q06itemDirections_56fc783b61d750.86234618_1_0"	"PISA_srp-SRB_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"3962"	"Read the information below."	"&lt;i&gt;Pročitaj tekst ispod,"	"q00bbody_q00bitemDirections_56fc784a8325e9.36857198_0_0"	"PISA_srp-SRB_REA_R560-GarbagePatch_en18_MS2022.xlf"
"5356"	"1"	"46"	"R567_question11_attr_value_attr_R567Q11RADIO_2_2_56fc78792045f9.34818124_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1382"	"It looks like I might not be able to join the chess club after all."	"Izgleda da ipak neću moći da se učlanim u šahovski klub.”"	"Q01R542_question_Convp7_56fc782106bb52.01850166_3_0"	"PISA_srp-SRB_REA_R542-BulletinBoard_en18_MS2022.xlf"
"5583"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"q0b-body_q0b-itemDirections_56fc784ab20015.89980695_1_0"	"PISA_srp-SRB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5476"	"True"	"Tačna"	"R568_question02_q02tr1th2_56fc784aa47db9.34290218_0"	"PISA_srp-SRB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"4947"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"q00c-body_q00c-itemDirections_56fc786b7db3f5.52043399_1_0"	"PISA_srp-SRB_REA_R566-SkelligRocks_en18_MS2022.xlf"
"4443"	"Type your answer to the question."	"Napiši odgovor na pitanje."	"R563_question01_q01itemDirections_56fc786b3d91e6.22628556_1_0"	"PISA_srp-SRB_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3955"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"q00abody_q00aitemDirections_56fc784a8205f2.33738515_1_0"	"PISA_srp-SRB_REA_R560-GarbagePatch_en18_MS2022.xlf"
"5214"	"1"	"46"	"R567_question05_attr_value_attr_R567Q05RADIO_3_2_56fc7879112fb7.06058466_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"5758"	"Benches"	"Na klupama"	"q5R569_question_question05_3_56fc7879534d97.39141400_0"	"PISA_srp-SRB_REA_R569-TheCleanup_en18_MS2022.xlf"
"4040"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"q00a-body_q00a-p1_56fc785d252639.73865870_1_0"	"PISA_srp-SRB_REA_R561-OlympicFlag_en18_MS2022.xlf"
"4159"	"Type your answer to the question."	"Napiši odgovor na pitanje."	"R561_question09_q09itemDirections_56fc785d33ecc7.05935368_1_0"	"PISA_srp-SRB_REA_R561-OlympicFlag_en18_MS2022.xlf"
"5491"	"Click on a choice to answer the question."	"Odgovori na pitanje klikom na jednu od ponuđenih opcija."	"R568_question03_q03itemDirections_56fc784aa61dd0.11236281_1_0"	"PISA_srp-SRB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"2198"	"&lt;b&gt;Book Survey&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Istraživanje o knjigama&lt;/b&gt;"	"R547_question2_itemTitle_56fc782e071323.16058035_0_0"	"PISA_srp-SRB_REA_R547-BookSurvey_en18_MS2022.xlf"
"271"	"S"	"N"	"R219_stimulus_stimulus_10_56d724d36ba600.05881229_0"	"PISA_srp-SRB_REA_R219-Employment_en18_MS2022.xlf"
"958"	"20"	"2 000"	"R466_stimulus_q3key_56d724d65b89d7.87736438_0"	"PISA_srp-SRB_REA_R466-WorkRight_en18_MS2022.xlf"
"5334"	"1"	"46"	"R568_question10_attr_value_attr_R567Q10RADIO_1_56fc78791deb03.18258848_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3387"	"&lt;i&gt;Refer to “The Power of Twenty-five Dollars” on the right."	"&lt;i&gt;Koristi  informacije iz teksta „Šta može da se učini sa 3000 dinara?” sa desne strane."	"R556_question5_itemDirections_56fc783ac89735.55151724_0_0"	"PISA_srp-SRB_REA_R556-Microlending_en18_MS2022.xlf"
"3145"	"Then click on the NEXT arrow.&lt;/i&gt;"	"zatim klikni na strelicu DALJE."	"question00a_1_itemDirections0a_56fc784a5a26a5.39697544_1_0"	"PISA_srp-SRB_REA_R553-HealthForum_en18_MS2022.xlf"
"2312"	"Graphic Novel/ Comics&lt;br/&gt;28%"	"Grafički roman/strip&lt;br/&gt;28%"	"R547_question10_comicsLbl_56fc782e14b486.46787487_0"	"PISA_srp-SRB_REA_R547-BookSurvey_en18_MS2022.xlf"
"1848"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Koristi oba izvora sa desne strane, koja otvaraš tako što ćeš kliknuti na svaki od prozora."	"R544_question13_itemDirections_56fc7821777325.89058352_0_0"	"PISA_srp-SRB_REA_R544-Tesla_en18_MS2022.xlf"
"4210"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"q00body_q00itemDirections_56fc783b3f8a36.71119956_1_0"	"PISA_srp-SRB_REA_R562-OpeningNight_en18_MS2022.xlf"
"2832"	"Type your answer to the question."	"Napiši odgovor na pitanje."	"R550_question09_q09itemDirections_56fc785ced99f2.99132393_1_0"	"PISA_srp-SRB_REA_R550-CliffPalace_en18_MS2022.xlf"
"1246"	"True"	"Tačna"	"Q07_question_tr1th2_56fc7820d48a65.56061412_0"	"PISA_srp-SRB_REA_R541-Plastic_en18_MS2022.xlf"
"5578"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"q0a-body_q0a-itemDirections_56fc784ab0be40.63295573_1_0"	"PISA_srp-SRB_REA_R568-SpaceDebris_en18_MS2022.xlf"
"1565"	"Then click on the NEXT arrow."	"zatim klikni na strelicu DALJE."	"question0b_1_itemDirections00_56fc7821309e26.00768085_1_0"	"PISA_srp-SRB_REA_R543-Nobel_en18_MS2022.xlf"
"5178"	"Type your answer to the question."	"Napiši odgovor na pitanje."	"R567_question03_q03itemDirections_56fc78790e6414.00199794_1_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"3472"	"Type your answer to the question.&lt;/i&gt;"	"Napiši odgovor na pitanje. &lt;/i&gt;"	"R556_question11_itemDirections_56fc783ae151e7.17163175_1_0"	"PISA_srp-SRB_REA_R556-Microlending_en18_MS2022.xlf"
"2735"	"Autumn"	"Tokom jeseni."	"R550_question01_question01_5_56fc785cdd6f33.13931411_0"	"PISA_srp-SRB_REA_R550-CliffPalace_en18_MS2022.xlf"
"5253"	"1"	"46"	"R567_question08_attr_value_attr_R567Q08RADIO_1_2_56fc787915b112.34244821_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1927"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Odgovori na pitanje tako što ćeš kliknuti ispred izabranog odgovora, a zatim obrazložI svoj izbor. &lt;/i&gt;"	"R544_question6_itemDirections_56fc78217e75b4.12434036_1_0"	"PISA_srp-SRB_REA_R544-Tesla_en18_MS2022.xlf"
"5203"	"True"	"Tačna"	"R567_question05_q05tr1th2_56fc787910f8b1.79894974_0"	"PISA_srp-SRB_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4878"	"Website"	"Veb-sajt"	"R566_Stimulus04_stimulus4_6_56fc786b7611d9.06257189_0"	"PISA_srp-SRB_REA_R566-SkelligRocks_en18_MS2022.xlf"
"6092"	"Read the information below."	"Pročitaj informacije ispod,"	"q0cR590_question_q0citemDirections_56fd2311163946.15922865_0_0"	"PISA_srp-SRB_REA_R590-Sentences01_en18_MS2022.xlf"
"1460"	"Click on a choice to answer the question."	"Odgovori na pitanje tako što ćeš kliknuti ispred izabranog odgovora&lt;/i&gt;"	"Q08R542_question_Q08itemDirections_56fc78211030b8.65907280_1_0"	"PISA_srp-SRB_REA_R542-BulletinBoard_en18_MS2022.xlf"
"3651"	"&lt;i&gt;Refer to both sources on the right by clicking on each of the tabs."	"&lt;i&gt;Koristi informacije iz oba izvora sa desne strane tako što ćeš kliknuti na svaki od prozora."	"R558_question8_itemDirections_56fc786b1259f5.61081922_0_0"	"PISA_srp-SRB_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
